rgstrd_mtr_vhcls_yr_mnfctre_31_jnry_lss_5_yrs_nm, number_businesses_industry_30_june_arts_recreation_services_num, business_exits_year_ended_30_june_number_non_employing_num, tourist_accommodation_establishments_30_june_15_rooms_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_pblc_admnstr_sfty_pc, rgstrd_mtr_vhcls_type_vhcle_31_jnry_hvy_rgd_trcks_nm, rgstrd_mtr_vhcls_yr_mnfctre_31_jnry_10_yrs_nm, rgstrd_mtr_vhcls_type_vhcle_31_jnry_mtrcycls_nm, registered_motor_vehicles_type_vehicle_31_january_total_num, number_of_businesses_by_industry_as_at_30_june_retail_trade_num, bldng_apprvls_yr_endd_30_jne_ttl_vle_prvte_sctr_dwllng_unts_m, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_edctn_trnng_pc, nmbr_bsnsss_indstry_30_jne_admnstrtve_spprt_srvcs_nm, bldng_apprvls_yr_endd_30_jne_vle_prvte_sctr_hss_m, rsdntl_prprty_prcs_yr_endd_30_jne_hss_mdn_sle_prce, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_mnfctrng_pc, rsdntl_prprty_prcs_yr_endd_30_jne_hss_nmbr_trnsfrs_nm, nmbr_bsnsss_indstry_30_jne_elctrcty_gs_wtr_wste_srvcs_nm, number_businesses_industry_30_june_currently_unknown_num, number_businesses_30_june_total_number_of_businesses_num, sa2_name_2016, bsnss_exts_yr_endd_30_jne_nmbr_emplyng_20_emplys_nm, bldng_apprvls_yr_endd_30_jne_prvte_sctr_dwllngs_excldng_hss_nm, bldng_aprvls_yr_end_30_jne_vle_prvte_sctr_dwlngs_excldng_hs_m, rgstrd_mtr_vhcls_yr_mnfctre_31_jnry_5_10_yrs_nm, number_businesses_30_june_of_employing_5_19_employees_num, business_entries_year_ended_30_june_total_number_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_infrmt_mda_tlcmns_pc, indstry_emplynt_prtn_of_emplyd_prsn_cns_elctry_gs_wtr_wste_srvc, rgstrd_mtr_vhcls_type_vhcle_31_jnry_lght_rgd_trcks_nm, number_businesses_30_june_of_employing_20_employees_num, number_businesses_industry_30_june_wholesale_trade_num, building_approvals_year_ended_30_june_private_sector_houses_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_fncl_insrce_srvc_pc, number_of_businesses_by_industry_as_at_30_june_construction_num, nmbr_bsnsss_indstry_30_jne_pblc_admnstrtn_sfty_nm, nmbr_bsnsss_indstry_30_jne_hlth_cre_scl_assstnce_nm, bsnss_exts_yr_endd_30_jne_nmbr_emplyng_5_19_emplys_nm, number_businesses_30_june_of_employing_1_4_employees_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_admnstrve_sprt_srvc_pc, registered_motor_vehicles_type_fuel_31_january_electric_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_acmdtn_fd_srvc_pc, bsnss_entrs_yr_endd_30_jne_nmbr_emplyng_5_19_emplys_nm, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_whlsle_trde_pc, indstry_emplynt_prtn_of_emplyd_prsn_cns_arts_rctn_srvc_pc, bsnss_exts_yr_endd_30_jne_nmbr_emplyng_1_4_emplys_nm, number_businesses_industry_30_june_manufacturing_num, rgstrd_mtr_vhcls_type_vhcle_31_jnry_nn_frght_crryng_trcks_nm, rgstrd_mtr_vhcls_type_vhcle_31_jnry_cmprvns_nm, indstry_emplynt_prtn_of_emplyd_prsn_cns_prfsnl_scntf_tchnl_srvc, nmbr_bsnsss_indstry_30_jne_agrcltre_frstry_fshng_nm, nmbr_bsnsss_indstry_30_jne_fnncl_insrnce_srvcs_nm, building_approvals_year_ended_30_june_value_non_residential_m, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_srvcs_pc, nmbr_bsnsss_indstry_30_jne_infrmtn_mda_tlcmmnctns_nm, registered_motor_vehicles_type_vehicle_31_january_buses_num, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_rtl_trde_pc, building_approvals_year_ended_30_june_total_dwelling_units_num, bsnss_entrs_yr_endd_30_jne_nmbr_emplyng_1_4_emplys_nm, number_businesses_industry_30_june_of_by_total_num, business_entries_year_ended_30_june_number_non_employing_num, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_cnstrctn_pc, building_approvals_year_ended_30_june_value_of_total_building_m, number_businesses_30_june_of_non_employing_num, building_approvals_year_ended_30_june_value_residential_m, registered_motor_vehicles_type_vehicle_31_january_passenger_num, number_businesses_industry_30_june_services_num, nmbr_bsnsss_indstry_30_jne_trnsprt_pstl_wrhsng_nm, number_of_businesses_by_industry_as_at_30_june_mining_num, business_exits_year_ended_30_june_total_number_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_trnsp_pstl_wrhsng_pc, indstry_emplynt_prtn_of_emplyd_prsn_cns_indqtly_dscrb_std_pc, nmbr_bsnsss_indstry_30_jne_accmmdtn_fd_srvcs_nm, rsdntl_prty_prcs_yr_end_30_jne_atchd_dwlngs_nmbr_trnsf_nm, indstry_emplynt_prtn_of_emplyd_prsn_cns_agrclte_frsty_fshng_pc, rgstrd_mtr_vhcls_type_vhcle_31_jnry_artcltd_trcks_nm, indstry_emplynt_prtn_of_emplyd_prsn_cns_hlt_cre_scl_astnce_pc, rgstrd_mtr_vhcls_type_vhcle_31_jnry_lght_cmmrcl_nm, registered_motor_vehicles_type_fuel_31_january_lpgdualother_num, sa2_maincode_2016, bsnss_entrs_yr_endd_30_jne_nmbr_emplyng_20_emplys_nm, nmbr_bsnsss_indstry_30_jne_rntl_hrng_rl_estte_srvcs_nm, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_mnng_pc, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_ttl_nm, rsdntl_prprty_prcs_yr_endd_30_jne_attchd_dwllngs_mdn_sle_prce, yr, registered_motor_vehicles_type_fuel_31_january_petrol_num, number_businesses_industry_30_june_education_training_num, nmbr_bsnsss_indstry_30_jne_prfssnl_scntfc_tchncl_srvcs_nm, bldng_apprvls_yr_endd_30_jne_ttl_prvte_sctr_dwllng_unts_nm, registered_motor_vehicles_type_fuel_31_january_diesel_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_rntl_hrng_rl_est_srvc_p
7260,46,293,null,null,241,7349,755,20567,158,126,null,118,67,1450000.0,null,214,4,11,3277,"Essendon - Aberfeldie",3,172,59,5953,274,525,null,null,79,54,76,59,null,565,12,283,10,815,null,9,null,17,null,null,79,71,9,22,null,27,386,32,null,18,36,null,231,107,3277,397,null,160,2129,128,17467,104,193,3,387,null,null,138,291,null,120,null,1832,305,"206031114",null,467,null,null,482500.0,2019,16639,51,547,231,3608,null
1820,17,105,null,null,15,2221,149,5698,48,40,null,43,16,1230000.0,null,57,4,null,832,"Murrumbeena",null,85,24,1655,29,147,null,null,17,17,25,16,null,133,null,46,null,195,null,6,null,null,null,null,16,26,null,7,null,8,92,null,null,16,9,null,101,22,832,124,null,41,594,40,5183,33,74,null,124,null,null,27,68,null,null,null,317,99,"208021181",null,65,null,null,515000.0,2019,4954,16,169,101,637,null
2252,31,85,null,null,38,2594,207,6684,66,29,null,36,24,1340500.0,null,80,5,3,1089,"Alphington - Fairfield",5,15,6,1839,110,136,null,null,46,37,65,20,null,150,4,102,15,261,null,8,null,3,null,null,21,57,5,3,null,10,95,8,null,19,18,null,35,27,1089,101,null,38,686,30,5724,37,49,null,125,null,null,42,69,null,null,null,638,104,"206021110",null,134,null,null,625000.0,2019,5443,20,165,35,1133,null
2854,9,89,null,null,62,2998,161,8050,46,32,null,40,18,960000.0,null,106,3,3,862,"Blackburn South",null,73,15,2197,59,146,null,null,33,5,33,27,null,133,null,76,3,223,null,6,null,3,null,null,22,24,23,10,null,4,78,2,null,6,30,null,100,33,862,111,null,36,575,33,7134,26,63,3,113,null,null,45,35,null,3,null,594,139,"207031162",null,100,null,null,695000.0,2019,6653,23,146,100,1251,null
3796,14,150,null,null,26,4347,304,11563,106,59,null,83,40,1165000.0,null,166,3,3,1591,"Box Hill North",null,56,19,3416,93,311,null,null,37,9,103,63,null,267,5,150,9,465,null,13,null,3,null,null,52,40,3,5,null,9,129,15,null,13,16,null,120,74,1591,233,null,75,1027,59,10517,53,118,null,209,null,null,61,117,null,null,null,654,163,"207031164",null,144,null,null,830000.0,2019,9899,43,260,119,1494,null
4601,39,240,null,null,46,4661,340,13133,147,73,null,111,33,1508500.0,null,159,3,9,2487,"Caulfield - South",null,79,40,3870,130,324,null,null,33,29,95,32,null,255,11,216,10,543,null,7,null,4,null,null,53,51,null,7,null,16,356,12,null,20,24,null,111,55,2487,269,null,86,1784,74,11935,72,102,null,306,null,null,80,114,null,12,null,732,152,"208021178",null,429,null,null,719000.0,2019,11434,44,425,111,1538,null
3920,111,235,null,null,56,6626,516,14475,144,70,null,73,48,1241000.0,null,210,5,13,2253,"Northcote",3,73,23,3926,175,362,null,null,37,48,55,25,null,253,5,231,12,519,null,15,null,4,null,null,67,65,3,30,null,18,148,12,null,68,27,null,100,61,2253,286,null,84,1510,72,12672,78,89,null,318,null,null,127,221,null,17,null,1125,340,"206021111",3,212,null,null,539750.0,2019,12248,47,507,98,1877,null
3015,63,160,null,null,109,5417,399,11614,95,49,null,68,23,1100000.0,null,158,5,4,1588,"Thornbury",3,68,26,3182,129,269,null,null,96,24,42,20,null,236,null,115,5,380,null,8,null,5,null,null,31,71,13,12,null,9,101,5,null,26,25,null,88,53,1588,210,null,56,1062,51,9877,76,103,null,196,null,null,89,270,null,6,null,1084,271,"206021112",3,169,null,null,624000.0,2019,9803,24,286,88,1535,null
1823,37,85,null,null,40,2268,214,5827,46,7,null,20,7,977500.0,null,50,3,null,756,"Flemington",null,null,null,1736,41,159,null,null,41,12,26,1,null,41,null,55,3,145,null,4,null,null,null,null,11,16,null,11,null,7,60,4,null,24,17,null,1,14,756,142,null,12,554,8,5059,19,139,null,103,null,null,36,100,null,8,null,431,118,"206031115",null,71,null,null,366500.0,2019,4894,15,135,1,811,null
2999,26,126,null,null,49,3558,344,9319,74,68,null,57,16,1200000.0,null,126,3,3,1291,"Ascot Vale",null,167,52,2760,74,225,null,null,30,16,28,9,null,175,10,121,6,299,null,8,null,4,null,null,32,27,4,15,null,20,121,12,null,16,9,null,176,41,1291,180,null,81,902,69,8227,48,162,null,161,null,null,47,103,null,7,null,628,171,"206031113",null,130,null,null,517500.0,2019,7909,21,208,176,1229,null
3127,42,156,null,null,12,2776,232,8195,86,45,null,53,24,1750000.0,null,104,null,4,1620,"Elsternwick",5,62,21,2289,125,226,null,null,23,47,51,10,null,145,null,152,8,378,null,4,null,4,null,null,31,45,null,11,null,14,185,10,null,46,28,null,72,32,1620,184,null,55,1069,45,7396,60,54,null,198,null,null,76,120,null,3,null,496,106,"208021179",null,234,null,null,605000.0,2019,6835,38,333,72,1246,null
3356,25,190,null,null,51,3604,385,9680,108,93,null,82,30,1255001.0,null,140,null,4,1897,"Moonee Ponds",null,186,63,2719,180,314,null,null,38,22,55,19,null,247,8,186,10,516,null,10,null,10,null,null,51,43,3,10,null,16,254,28,null,20,18,null,205,70,1897,234,null,123,1169,94,8378,86,77,3,259,null,null,101,176,null,null,null,792,149,"206031116",null,235,null,null,470750.0,2019,8053,27,314,205,1462,null
1868,23,120,null,null,45,2366,221,6037,57,15,null,45,12,972500.0,null,99,6,null,982,"Kensington (Vic.)",null,10,3,1802,98,156,null,null,51,26,43,5,null,70,3,85,3,242,null,4,null,3,null,null,22,37,null,12,null,3,64,4,null,20,23,null,15,30,982,121,null,19,614,15,5207,38,74,3,148,null,null,58,161,null,9,null,461,126,"206041121",null,110,null,null,530500.0,2019,5051,18,212,15,857,null
1251,20,73,null,null,18,1044,93,3201,41,6,null,37,4,1840000.0,null,14,null,3,754,"Parkville",null,4,2,902,51,147,null,null,25,21,14,2,null,38,3,224,null,170,null,3,null,8,null,null,11,13,3,3,null,5,69,142,null,19,13,null,6,30,754,110,null,149,508,7,2809,5,41,null,90,null,null,34,62,null,null,null,241,31,"206041124",3,59,null,null,565000.0,2019,2679,23,114,6,480,null
4716,63,290,null,null,501,4308,613,12592,191,166,null,153,10,1109000.0,null,67,5,7,3131,"North Melbourne",3,410,156,3567,338,504,null,null,228,126,147,3,null,236,8,212,23,742,null,13,null,16,null,null,71,88,53,15,null,16,244,88,null,63,60,null,413,98,3131,392,null,259,1933,171,8968,114,212,3,382,null,null,185,780,null,352,null,1801,307,"206041123",3,446,null,null,620000.0,2019,9050,70,666,413,3226,null
5812,18,204,null,null,295,8786,631,20227,104,83,null,67,44,800000.0,null,264,3,6,1891,"Keilor East",null,118,39,5622,84,311,null,null,131,11,47,77,null,417,7,135,9,457,null,7,null,null,null,null,47,48,18,21,null,11,189,1,null,12,29,null,195,59,1891,252,null,86,1339,84,16935,72,193,null,253,null,null,52,50,null,36,null,2132,462,"210011229",null,254,null,null,610000.0,2019,16685,22,228,195,3073,null
10638,45,346,null,null,522,2692,500,16453,135,277,null,143,1,null,null,null,8,7,3099,"Southbank",3,745,277,3126,213,596,null,null,459,137,120,null,null,398,5,164,13,628,null,12,null,3,null,null,74,51,39,8,null,29,473,112,null,69,114,null,745,115,3099,467,null,391,2114,279,11772,49,115,15,437,null,null,156,905,null,41,null,3006,123,"206041126",3,472,null,null,580000.0,2019,10744,47,596,745,5572,null
null,null,10,null,null,null,null,null,null,14,null,null,3,null,null,null,null,null,null,161,"West Melbourne",3,null,null,null,31,5,null,null,null,13,44,null,null,8,null,null,null,44,null,null,null,null,null,null,3,5,null,null,null,3,4,17,null,null,null,null,null,3,161,3,null,17,80,null,null,3,13,null,13,null,null,5,null,null,null,null,null,null,"206041127",null,47,null,null,null,2019,null,3,5,null,null,null
3095,61,195,null,null,23,3718,458,9734,90,53,null,71,30,1900000.0,null,82,3,10,1642,"Elwood",null,34,22,2917,102,298,null,null,14,16,50,17,null,194,4,141,3,388,null,14,null,4,null,null,35,24,3,25,null,18,132,5,null,54,null,null,51,54,1642,243,null,60,1134,56,8596,65,54,3,230,null,null,47,266,null,null,null,611,119,"206051129",null,131,null,null,646500.0,2019,8182,52,436,51,1425,null
8658,86,505,null,null,263,3541,466,15514,192,198,null,230,40,1990000.0,null,126,7,22,5098,"Albert Park",5,255,158,3307,398,772,null,null,63,138,174,12,null,581,17,276,14,1093,null,19,null,19,null,null,110,69,13,16,null,58,908,21,null,112,48,null,267,140,5098,613,null,224,3467,203,13385,90,95,14,630,null,null,163,237,null,137,null,1117,137,"206051128",3,837,null,null,619500.0,2019,12036,92,1097,267,3317,null
13671,45,242,null,null,429,4953,682,23798,130,39,null,97,25,1444000.0,null,123,3,5,2346,"Port Melbourne",null,49,14,5166,157,381,null,null,188,41,92,7,null,216,4,145,13,575,null,28,null,10,null,null,57,46,22,25,null,30,301,6,null,37,100,null,56,74,2346,293,null,51,1569,45,18082,97,62,null,310,null,null,98,222,null,239,null,4028,240,"206051130",null,340,null,null,711000.0,2019,16173,35,561,56,7353,null
8,16,119,null,null,null,3,null,15,75,6,null,66,1,null,null,null,3,4,1827,"Port Melbourne Industrial",4,22,5,3,406,244,null,null,null,209,161,null,null,220,9,330,13,391,null,null,null,16,null,null,21,87,null,null,null,21,169,37,null,36,null,null,22,113,1827,119,null,44,821,7,11,40,69,3,159,null,null,51,null,null,null,null,null,null,"206051131",3,269,null,null,null,2019,10,15,186,22,5,null
1974,14,73,null,null,87,2346,215,6065,54,35,null,40,15,1050000.0,null,92,null,3,747,"Niddrie - Essendon West",null,56,20,1744,71,107,null,null,49,16,19,23,null,168,null,59,3,223,null,null,null,null,null,null,18,21,7,55,null,5,70,1,null,5,25,null,79,25,747,79,null,36,433,35,4698,37,44,null,93,null,null,39,52,null,9,null,920,152,"210011230",null,74,null,null,707500.0,2019,4784,8,101,79,1129,null
6548,86,532,null,null,94,3050,420,12685,287,124,null,230,19,1210000.0,null,82,25,29,5578,"South Melbourne",8,254,105,3081,611,828,null,null,397,242,203,5,null,541,17,246,31,1252,null,19,null,29,null,null,115,112,53,13,null,56,765,200,null,176,68,null,284,183,5578,601,null,332,3469,132,10119,176,92,18,681,null,null,247,153,null,41,null,1467,113,"206051132",16,1016,null,null,579500.0,2019,9185,80,1178,259,3363,null
2704,48,192,null,null,21,3847,372,9166,124,14,null,76,12,1205000.0,null,77,3,10,1516,"St Kilda East",3,4,2,2615,115,305,null,null,34,29,50,3,null,147,null,129,3,330,null,9,null,5,null,null,37,39,null,22,null,5,97,2,null,54,32,null,7,50,1516,249,null,18,1040,16,8190,67,102,3,227,null,null,93,288,null,null,null,489,127,"206051134",3,133,null,null,582500.0,2019,8005,27,317,7,1028,null
6986,117,531,null,null,136,6436,815,18149,198,37,null,202,20,1600000.0,null,85,17,17,4506,"St Kilda",3,51,17,4721,338,746,null,null,68,133,120,7,null,523,22,213,24,869,null,15,null,17,null,null,86,84,9,214,null,30,548,34,null,145,54,null,58,126,4506,604,null,78,3167,43,15545,102,182,6,646,null,null,224,630,null,6,null,1304,215,"206051133",null,774,null,null,550000.0,2019,15305,79,892,58,2607,null
4360,87,494,null,null,31,3742,424,11388,259,223,null,187,40,1622500.0,null,93,5,21,4503,"South Yarra - East",5,428,183,3283,399,758,null,null,21,137,178,6,null,398,8,316,25,969,null,34,null,24,null,null,89,96,3,15,null,44,617,92,null,104,12,null,434,165,4503,563,null,314,2998,222,10346,126,100,6,607,null,null,246,475,null,null,null,534,73,"206061137",6,793,null,null,529000.0,2019,9475,63,862,434,1813,null
4421,39,273,null,null,30,3418,256,10839,101,139,null,90,115,3540000.0,null,107,5,10,2938,"Toorak",null,18,23,2997,135,360,null,null,23,40,79,19,null,171,5,252,3,505,null,56,null,5,null,null,34,39,3,7,null,56,599,8,null,32,9,null,37,56,2938,294,null,150,2255,142,10099,61,19,3,308,null,null,67,198,null,null,null,407,67,"206061138",null,856,null,null,995500.0,2019,8721,20,428,37,1996,null
1305,40,89,null,null,11,1961,180,4487,60,28,null,24,28,1491000.0,null,74,3,3,924,"Carlton North - Princes Hill",null,null,null,1226,47,130,null,null,12,9,16,4,null,63,3,122,7,223,null,4,null,3,null,null,14,12,null,13,null,10,101,2,null,28,null,null,4,20,924,109,null,33,642,31,4004,22,37,null,113,null,null,45,35,null,3,null,268,58,"206071140",null,99,null,null,720000.0,2019,3778,20,223,4,653,null
1930,39,160,null,null,40,1749,284,5258,107,7,null,44,7,1040000.0,null,47,null,14,1667,"Abbotsford",4,1,null,1583,164,227,null,null,75,89,99,3,null,138,4,87,12,319,null,3,null,5,null,null,30,61,10,6,null,15,194,7,null,27,8,null,4,57,1667,164,null,15,1093,8,4317,50,34,null,208,null,null,81,151,null,null,null,524,63,"206071139",null,306,null,null,530500.0,2019,4312,33,334,4,879,null
1991,75,132,null,null,32,3161,273,7266,81,42,null,44,33,1430000.0,null,87,3,3,1372,"Fitzroy North",null,23,9,2116,105,208,null,null,25,24,31,9,null,108,4,196,10,332,null,9,null,4,null,null,24,35,3,9,null,6,111,9,null,40,374,null,32,44,1372,155,null,53,911,44,6082,46,43,null,169,null,null,79,79,null,null,null,470,97,"206071143",null,146,null,null,630500.0,2019,5777,17,319,32,1391,null
20313,153,651,null,null,290,7175,865,33893,394,187,null,236,43,1238000.0,null,227,29,22,6503,"Richmond (Vic.)",15,361,144,6404,756,998,null,null,231,276,284,17,null,660,9,503,41,1516,null,79,null,42,null,null,164,171,44,23,null,69,630,377,null,174,117,null,378,223,6503,724,null,578,3953,201,27421,187,194,3,872,null,null,389,405,null,32,null,4869,336,"206071144",11,881,null,null,585000.0,2019,24199,101,1408,378,9287,null
5325,73,346,null,null,72,4867,466,14355,181,143,null,159,79,2352500.0,null,129,3,7,3646,"Hawthorn",5,118,64,4157,293,550,null,null,26,112,133,12,null,267,7,344,22,854,null,23,null,8,null,null,72,73,3,6,null,73,602,49,null,59,58,null,130,115,3646,425,null,194,2383,145,12875,105,116,5,447,null,null,142,356,null,46,null,803,132,"207011151",null,495,null,null,552000.0,2019,11669,77,746,130,2537,null
1565,10,58,null,null,21,1990,139,5089,46,38,null,31,28,1555000.0,null,76,null,3,818,"Ashburton (Vic.)",null,20,10,1533,61,127,null,null,15,16,35,33,null,95,4,107,3,208,null,4,null,3,null,null,25,21,null,6,null,9,79,1,null,3,7,null,54,22,818,101,null,39,537,39,4611,21,28,null,85,null,null,26,15,null,null,null,290,92,"207011146",null,80,null,null,921444.0,2019,4256,12,195,53,737,null
4558,21,232,null,null,24,3664,248,11672,156,76,null,82,55,2410000.0,null,159,null,7,2713,"Balwyn",null,23,21,3451,190,349,null,null,32,36,151,42,null,308,7,301,9,700,null,17,null,11,null,null,66,40,null,7,null,38,393,22,null,20,12,null,65,89,2713,245,null,87,1780,65,10859,58,76,3,318,null,null,134,111,null,3,null,493,111,"207011147",null,472,null,null,775500.0,2019,9510,47,405,65,2024,null
5445,24,262,null,null,64,4872,318,14596,163,103,null,83,81,1625000.0,null,244,3,9,3064,"Balwyn North",null,50,22,4280,178,449,null,null,36,27,173,77,null,313,9,294,7,741,null,20,null,9,null,null,55,48,3,13,null,18,405,12,null,26,39,null,127,104,3064,334,null,115,2113,103,13417,65,114,null,327,null,null,119,44,null,16,null,686,167,"207011148",null,707,null,null,960000.0,2019,11960,48,439,127,2452,null
4453,37,337,null,null,69,3185,272,10694,145,235,null,129,59,1885000.0,null,102,9,14,3079,"Hawthorn East",4,458,176,3049,273,394,null,null,56,96,140,20,null,271,10,308,9,693,null,21,null,10,null,null,61,68,null,8,null,35,434,14,null,39,41,null,478,83,3079,298,null,251,2016,236,9516,60,94,3,413,null,null,120,159,null,27,null,688,92,"207011152",null,452,null,null,615000.0,2019,8579,62,651,478,1998,null
5687,39,285,null,null,69,4739,348,15008,153,86,null,89,59,2000000.0,null,173,6,7,3416,"Camberwell",3,26,27,4583,219,405,null,null,49,47,116,36,null,288,3,369,7,734,null,28,null,8,null,null,63,64,3,5,null,28,923,17,null,37,40,null,62,89,3416,303,null,107,2420,89,13747,71,63,null,362,null,null,100,116,null,6,null,738,138,"207011149",null,408,null,null,796000.0,2019,12237,40,622,62,2606,null
7045,66,360,null,null,41,5720,487,17823,167,105,null,143,71,2030000.0,null,226,8,18,4197,"Kew",5,68,34,5053,298,534,null,null,52,70,157,37,null,362,5,587,10,977,null,39,null,14,null,null,76,66,5,13,null,56,661,47,null,40,34,null,105,117,4197,400,null,153,2857,107,16206,85,112,12,455,null,null,163,196,null,16,null,971,197,"207011153",3,653,null,null,720000.0,2019,14392,64,764,105,3196,null
7884,7,288,null,null,573,6147,349,19031,185,249,null,111,71,1200000.0,null,187,5,9,2736,"Doncaster",null,529,178,4997,153,532,null,null,49,31,155,108,null,427,13,185,15,653,null,13,null,5,null,null,82,39,4,13,null,22,304,17,null,20,40,null,637,132,2736,391,null,268,1900,251,16858,74,197,4,390,null,null,161,281,null,65,null,1091,284,"207021157",null,435,null,null,595000.0,2019,15212,33,348,637,3524,null
4831,22,217,null,null,107,4664,316,13286,130,54,null,69,28,1250000.0,null,145,4,5,2396,"Templestowe",3,62,26,3785,141,333,null,null,65,28,124,22,null,355,5,198,10,618,null,9,null,4,null,null,46,43,4,10,null,21,313,1,null,21,29,null,84,78,2396,244,null,56,1606,55,11815,64,100,null,276,null,null,131,41,null,3,null,937,191,"207021159",null,459,null,null,766250.0,2019,10794,32,303,84,2288,null
2534,10,52,null,null,122,2840,254,7578,38,4,null,22,4,872500.0,null,57,null,4,675,"Aspendale Gardens - Waterways",null,null,null,2202,34,99,null,null,91,6,37,6,null,114,null,56,3,182,null,3,null,null,null,null,14,27,7,13,null,5,61,28,null,5,12,null,6,19,675,81,null,32,446,4,6065,34,60,3,71,null,null,23,6,null,17,null,997,162,"208031183",null,69,null,null,615000.0,2019,5835,4,102,6,1578,null
4127,31,194,null,null,35,3852,279,11325,99,74,null,79,58,1779000.0,null,155,3,3,2192,"Glen Iris - East",null,21,16,3343,132,320,null,null,19,46,88,43,null,218,4,264,10,572,null,17,null,null,null,null,54,57,null,4,null,24,318,15,null,29,15,null,64,66,2192,246,null,90,1446,75,10459,38,57,null,255,null,null,58,83,null,null,null,515,117,"207011150",null,283,null,null,710000.0,2019,9375,39,502,64,1816,null
1674,16,115,null,null,22,1702,127,4710,33,36,null,35,28,1800000.0,null,52,null,null,998,"Kew East",null,15,9,1335,65,134,null,null,13,21,42,23,null,97,3,93,3,240,null,8,null,5,null,null,20,27,3,6,null,13,131,1,null,15,7,null,38,26,998,96,null,37,672,37,4218,27,20,3,139,null,null,41,24,null,4,null,310,46,"207011154",3,186,null,null,980000.0,2019,3832,20,197,38,827,null
3702,18,171,null,null,55,3601,195,10222,122,82,null,60,35,1155000.0,null,107,3,3,1668,"Doncaster East (South)",null,127,47,2919,130,310,null,null,26,15,105,60,null,251,6,134,10,459,null,3,null,5,null,null,38,31,null,11,null,5,179,8,null,12,17,null,187,74,1668,229,null,92,1068,83,9352,54,123,null,218,null,null,87,131,null,4,null,562,150,"207021425",null,231,null,null,780000.0,2019,8727,18,230,187,1339,null
5686,35,251,null,null,124,5972,320,16038,136,110,null,100,42,1050000.0,null,192,null,8,2677,"Blackburn",5,195,68,4377,227,384,null,null,67,47,131,55,null,329,8,189,5,646,null,13,null,7,null,null,62,85,46,21,null,18,480,4,null,27,59,null,250,89,2677,290,null,115,1755,111,14214,90,145,null,327,null,null,83,145,null,6,null,1184,277,"207031161",3,314,null,null,715000.0,2019,13255,44,452,250,2493,null
4560,29,260,null,null,38,3849,261,11937,136,70,null,88,61,2189444.0,null,158,3,11,2559,"Surrey Hills (West) - Canterbury",5,33,9,3526,213,326,null,null,26,49,108,30,null,261,3,296,15,633,null,20,null,14,null,null,67,47,null,10,null,33,397,24,null,28,23,null,63,62,2559,243,null,97,1664,72,10903,58,54,3,343,null,null,77,90,null,4,null,674,114,"207011155",null,388,null,null,867000.0,2019,9575,33,512,63,2227,null
2690,19,142,null,null,71,3543,179,8698,75,34,null,36,18,1062500.0,null,116,null,9,1326,"Bulleen",null,36,16,2470,102,177,null,null,35,20,66,26,null,210,5,128,3,304,null,3,null,3,null,null,33,31,28,6,null,5,128,2,null,10,26,null,62,43,1326,127,null,36,902,34,7638,62,58,null,177,null,null,52,61,null,null,null,719,201,"207021156",null,253,null,null,610000.0,2019,7195,22,171,62,1300,null
3166,16,133,null,null,37,3937,283,9975,91,62,null,47,22,1050000.0,null,134,4,3,1332,"Templestowe Lower",null,107,41,2865,75,180,null,null,25,22,74,34,null,211,3,111,3,312,null,3,null,3,null,null,31,27,3,9,null,6,144,10,null,8,13,null,141,43,1332,134,null,72,926,63,8901,34,89,null,168,null,null,61,220,null,4,null,702,192,"207021160",null,171,null,null,330000.0,2019,8402,21,195,141,1379,null
3855,20,161,null,null,52,3765,203,10673,109,161,null,62,12,1175000.0,null,126,null,5,1585,"Doncaster East (North)",null,431,149,3052,84,244,null,null,27,17,98,20,null,220,3,115,6,422,null,3,null,null,null,null,47,38,null,12,null,12,172,24,null,10,18,null,451,58,1585,187,null,186,1064,161,9770,38,113,null,214,null,null,83,56,null,4,null,586,157,"207021424",null,232,null,null,560000.0,2019,9123,28,226,451,1386,null
3229,3,104,null,null,72,4312,141,10206,78,100,null,40,9,988500.0,null,97,3,3,999,"Burwood East",null,274,92,2666,53,203,null,null,48,13,72,15,null,164,null,63,null,257,null,5,null,null,null,null,27,7,1941,13,null,null,89,27,null,10,26,null,289,45,999,160,null,128,676,101,7044,43,91,null,135,null,null,50,22,null,3,null,917,136,"207031166",null,126,null,null,622500.0,2019,6569,12,136,289,3495,null
