agnurspsbupano_f, agbroadcrpallaha_f, agothcrop_ahacan_f, mangoes_yield_f, sorghum_yield_f, agfloerupano_f, agfrutmcdmakg_f, mushrooms_yield_f, agewesmateanooth_f, agvegecapsakgund_f, agfrutothorctnb_f, sugarcutcrushing_yield_f, canola_yield_f, agdaircales1_f, agfloers_aha_f, tomatoesmku_yield_f, agbeefcatlano_f, agfrutolivtnb_f, mandarins_yield_f, tomatoesmko_yield_f, aglambslt1ano_f, agfrutothnutttb_f, agfrutothstre_f, agcereal_ahamai_f, agdaircowsano_f, peasfreshmkt_yield_f, agvegeonioaha_f, agfrutapptba_f, apples_yield_f, cotirrigatedlint_yield_f, agfrutmacatba_f, agbewesothge1ano_f, potatotot_yield_f, agfrutothcittr_f, agcereal_atooat_f, capsicumtot_yield_f, agvegepotaatopro_f, agfrutothcittba_f, agvegepotaaha_f, agturfrollupano_f, agfrutchertnb_f, agvegecapsam2und_f, agvegebrocakg_f, agfrutmacnum_f, agnursery_ahaout_f, agnurseryundaha_f, agsheeplmbano_f, agfrutnecttnb_f, aglandtotlaha_f, agothcrop_akgpnt_f, pasture_hay_yield_f, agvegeletahaout_f, agvegecapsakg_f, othpulses_yield_f, agfrutavotba_f, agvegecaulato_f, agcottlintakgnon_f, agdairy_ano_f, agfrutnutotaha_f, ageggprodado_f, agothlstokanohld_f, agvegbeanaha_f, grapeswine_yield_f, agfrutothpomtba_f, agvegecornato_f, caulifloers_yield_f, agvegecabbato_f, agfrutaprtnb_f, agbeefcalle1_f, agpasceothsilato_f, agfrutpeactnb_f, agpigs_ano_f, agpigbsow_ano_f, agfrutothcittnb_f, agothcrop_ahaoil_f, agfrutnecttba_f, lettuceund_yield_f, agcereal_atooth_f, onions_yield_f, agpasthay_aha_f, agothcrop_atoopu_f, agfrutpeactba_f, agsugnfcrushaha_f, agvegecarrato_f, pineapples_yield_f, agvege_aha_f, aggrape_ahanyb_f, agbewes1ano_f, agcatldispano_f, agfrutalmnum_f, agfrutavotree_f, agfrutcherakg_f, agvegeletakgout_f, agfrutstrwahabea_f, oth_hay_yield_f, bananas_yield_f, agvegelettakg_f, cabbages_yield_f, agfloersundaha_f, agvegecaulaha_f, agfrutothorctba_f, agbeefallot_f, capsicumund_yield_f, agcottlintakgirr_f, agothcrop_atocan_f, cherries_yield_f, agvegepeasakgpro_f, agnurshvupano_f, aggrapewinahanyb_f, agcereal_atomai_f, agfrutmangtnb_f, lettucetot_yield_f, aglucrnhay_ato_f, aggrape_aha_f, agdairallot_f, agvegetomaahamko_f, agfrutmangakg_f, agfrutmantree_f, agvegemushakg_f, agfrutothnum_f, agvegepeasakgmkt_f, agvegecapsaha_f, rice_yield_f, agfrutotsttba_f, aggrapeothaha_f, dairy_totcattle_rt_f, agfrutmandakg_f, cereals_hay_yield_f, sweetcorn_yield_f, nectarines_yield_f, sa4_name16, agdairheifanogt2_f, agfrutorngtnb_f, agothsheepano_f, agfrutpineato_f, agfrutaprtre_f, cottontot_yield_f, potatoespro_yield_f, agpigbopigano_f, agfrutapplakg_f, brussels_yield_f, agvegemusham2_f, agothcrhayato_f, agfrutapptree_f, agvegepotaahamkt_f, broccoli_yield_f, peaches_yield_f, aggrapewinahabea_f, agvegemelnaha_f, agfrutalmoakg_f, agfrutnaspearakg_f, agvegecabbaha_f, agcereal_ahawht_f, carrots_yield_f, triticale_yield_f, agcottlintakg_f, aggrapeothahanyb_f, agothcrop_ahaopu_f, apricots_yield_f, agfrutalmotba_f, agcottpltdahairr_f, aggrapewinaha_f, lucerne_yield_f, capsicumout_yield_f, agvegebrusakg_f, agothpltryano_f, agfrutnectree_f, agpasthay_ato_f, agchickensanolay_f, agbeefcowsano_f, agfrutorngakg_f, ageweslmbmark_f, agfrutotsttnb_f, agfrutmandtre_f, oats_yield_f, agdairheifanole2_f, agewesmateanomer_f, agvegetomaato_f, agvegecapsahaout_f, agcroptotaha_f, agfrutothpomtr_f, agsugarcrsaha_f, meat_totcattle_rt_f, peanuts_yield_f, agfrutolivtba_f, agcereal_atosor_f, aglucrnhay_aha_f, tomatotot_yield_f, agothcrhayaha_f, agvegeletam2und_f, agfrutnaspeartnb_f, agpascrhayaha_f, agfrutothrahanyb_f, strawberries_yield_f, agothcrop_aha_f, agchickensanomea_f, agcereal_atotri_f, agvegepeasahamkt_f, agnursbpcupano_f, agfrutbanaato_f, agfrutoorcano_f, agfrutpeatree_f, agvegebrocaha_f, agsugarcrsato_f, agvegepumpaha_f, agorchardsaha_f, agfrutbanaaha_f, agfrutmandtnb_f, agfrutorcba_f, almonds_yield_f, agvegetomaam2mku_f, aggrape_ato_f, agothcrop_ahapnt_f, cotnonirriglint_yield_f, aggrapeothahabea_f, agcereal_atobar_f, agcereal_atowht_f, agcottpltdahanon_f, agfrutothpomtnb_f, agnursfnvupano_f, agvegepeasakg_f, grapestot_yield_f, agfrutpineaha_f, oranges_yield_f, agfrutpineahabea_f, agvegbeankg_f, agfrutavocakg_f, agvegetomaahamkt_f, agfrutstrwakg_f, agfrutapriakg_f, agpasceothsilaha_f, agfloers_ahaout_f, agvegepotaato_f, agothchickenano_f, agfrutalmotnb_f, agfrutothrahabea_f, aglambmarked_f, agvegepeasaha_f, agvegemelnato_f, agvegetomaahapro_f, agfrutorcnyb_f, agsugarcanaha_f, macadamias_yield_f, agfrutnasptree_f, agnursinplupano_f, agpascrhayato_f, agcereal_ahatri_f, agvegeletakgund_f, agfrutorngtba_f, agfrutorngtree_f, agbewesmerge1ano_f, aggrape_ahabea_f, agcottpltdaha_f, agcereal_aharic_f, agcerehay_ato_f, agcerehay_aha_f, agfrutchertree_f, agfrutavotnb_f, agfrutpechakg_f, agvegeonioato_f, silage_yield_f, agnurspropupano_f, agcereal_ahasor_f, peastot_yield_f, agfrutmacatnb_f, agcereal_ahabar_f, pears_yield_f, agfrutpineahanyb_f, agvegepeasahapro_f, agfrutnectakg_f, agfrutolitree_f, agvegepumpato_f, agvegepotaatomkt_f, agcereal_atoric_f, agfrutothnuttnb_f, agvegetomaaha_f, agnursery_aha_f, othroilseeds_yield_f, tomatoespro_yield_f, aggrapewinato_f, wheat_yield_f, olives_yield_f, peasprcs_yield_f, lettuceout_yield_f, agvegeoth_aha_f, agfrutolivakg_f, agvegebrusaha_f, grapesoth_yield_f, agfrutmangtba_f, agfrutapptnb_f, potatoesfresh_yield_f, aglambmarkmerano_f, agfrutothha_f, othcerealgrnseed_yield_f, agfrutorctot_f, agvegepotaahapro_f, agvegetomaatopro_f, aggrapeothato_f, melons_yield_f, agfrutmandtba_f, agvegetomaakgmku_f, agvegetomaatomkt_f, agvegetomaatomko_f, agvegecapsakgout_f, aglambmarkothano_f, avocados_yield_f, agfrutchertba_f, agcereal_ahaoat_f, maize_yield_f, agfrutbanaahabea_f, agvegecornaha_f, agfrutbanaahanyb_f, agfrutaprtba_f, beans_yield_f, sa4_code16, agothcrop_atooil_f, pumpkins_yield_f, agvegelettaha_f, agturf_aha_f, agfrutnaspeartba_f, agvegecarraha_f, barley_yield_f, agnursptsupano_f, agnurflwtuaha_f, agcereal_ahaoth_f
8789,null,12113,null,null,13173,null,null,null,null,null,null,2,1486,471,17,23110,null,null,null,180790,null,null,116,6887,3333,10,null,null,null,null,79462,null,null,11349,null,null,null,null,null,null,null,473308,null,null,25,606983,null,null,null,null,247,null,3,null,null,null,11966,121,16861681,null,null,null,null,8,null,null,null,4779,12363,null,55526,7581,null,387,34,null,null,null,10158,11047,34,null,null,null,347,8,344316,35075,null,null,57,3257153,5,null,null,4010673,null,2,null,null,7545,null,null,22267,7,null,null,8,1486,null,16089,4245,139,72,null,null,null,null,null,2576,null,null,null,null,34,null,7,10,19,"Geelong",1725,null,81877,null,103,null,null,47945,null,null,null,3288,null,null,8787,29,131,null,null,null,null,null,null,null,null,null,3921,18,null,null,139,null,null,null,100000,34,32715,740410,10786,null,299835,null,null,null,1795,165544,10,null,null,null,null,66,null,28250,null,883,167,440,null,null,13825,null,500,184,3497717,null,1,13,null,null,34,54,null,null,116,null,null,28430,null,618,509,null,null,null,null,98431,null,null,null,2576,null,null,null,null,null,null,0,2563,1888,2515,468,null,279653,null,null,256469,1,null,null,null,null,null,null,null,null,null,753520,null,null,264854,131,null,null,16137,2344,9,null,1000,345,5,505,null,3333,null,null,null,null,null,659,28250,null,null,null,null,0,null,null,null,509,5,10,null,13162,32,274190,null,null,null,null,null,129574,null,null,28430,null,null,null,null,null,10304,10,null,null,null,null,9,2794,13,null,1,null,103,null,"203",465,null,249,null,null,null,4,145,529,null
null,null,22511,null,null,383,null,48,null,null,null,null,null,null,68,63,412630,null,35,null,null,49157,2403,36,null,null,null,null,24,null,null,null,28,7882,8071,13417,null,4299,3,1025,62547,null,null,null,40,2,null,null,null,null,null,null,383816,null,300,null,null,null,null,7067077,14477,null,10,250,167,null,null,null,131493,null,1001,16448,1701,3583,null,23,10,1467,null,null,1887,2376,null,null,null,null,177,null,473715,null,300,2199484,null,18,4,null,81054,null,1,null,null,null,null,null,37366,8,null,11,177,623,null,100000,12237,null,2001,null,null,null,1619416,59532,null,29,null,2403,null,null,247,6,11,19,"Hume",2950,null,null,null,null,null,null,14747,null,null,33755,1730,null,3,null,9,null,null,null,156564,null,37873,null,null,null,null,1327,null,null,null,null,null,13417,null,36027,23,null,322606,202405,397,null,null,7,null,null,199985,3147,29,null,250,null,87,null,14949,null,1991,629,458,8105,537,null,10,7500,697,3220000,5907,null,null,null,null,3378,null,null,null,null,null,null,576005,null,50000,null,null,null,null,null,112056,null,null,1373,null,10,null,57,null,null,3800,5,134351,null,null,67,85,299324,null,34,null,null,null,null,120503,null,null,4622,null,null,2406,81054,7,7,463144,null,null,null,39325,7153,335958,null,20453,null,6,101407,null,null,null,null,38,null,null,435,14949,null,85,null,10376,5,42,null,null,null,null,7,null,null,null,109370,null,null,null,null,28,199637,44,2,696508,null,null,null,null,7,3147059,3147,null,383816,null,13,273411,3387,17,null,16,null,null,null,"204",null,null,1,267,4084,null,3,32,null,660
4091,1501344,null,null,3,24911,273940,null,null,null,null,null,null,null,83,7,2148028,null,null,73,null,null,null,null,null,null,210,1183229,30,1982,23632,null,21,6658,55997,28788,206,5326,43,72,2742,null,null,23632,170,3,null,1854,14022180,null,null,618,null,1,39969,3203,null,null,null,null,131754,null,5,null,1753,17,null,null,434687,null,null,null,null,null,null,null,null,27120,36,4914,539353,null,null,7680,null,null,5,null,2186123,null,46090,3187,16248131,90,null,null,null,45,null,null,602,735934,null,null,null,null,null,null,4,null,null,null,null,308,null,null,null,null,null,null,null,null,null,115577,null,null,null,null,2,null,"Darling Downs - Maranoa",2062,null,null,null,null,1379,20,null,34927270,20974,null,15917,1313653,33,7090,14,null,477,null,252382,null,499401,43,null,null,1,361878,null,null,null,null,null,28788,124116,81120,null,null,null,977407,872,null,17412,null,1,null,251692,null,null,1565828,null,null,98,null,null,433023,null,null,4300,null,1995,null,40,11862,null,726998,null,2,null,null,602,null,null,null,null,null,null,null,1456805,null,null,null,null,null,null,null,1233265,null,null,38391,null,10,null,4,null,null,null,null,1064892,null,null,83,923,null,null,371,null,2,8439,null,170373,null,12,10300,null,null,null,null,195,195,null,303,null,null,null,null,4599,null,null,null,null,19083,157906,null,null,null,null,null,null,null,null,null,718,null,null,null,174,null,null,null,2,null,null,26284,null,null,6,12,null,130425,22,214328,411,null,1627178,10,null,null,18,null,null,null,null,null,null,null,1857,null,null,null,1002,null,null,null,"307",2802,null,null,31,8306,179,3,379563,null,18729
320,11446,2322,null,5,13016,null,null,257286,2746732,null,null,2,69644,null,59,590413,20,7,40,null,689,844,null,262991,2543,115,212269,15,null,null,243709,26,32471,695,59777,9842,27051,1915,295,27,85640,6581481,20,198,11,null,203,976066,null,4,1811,3799668,null,186,3264,null,439504,251,11010463,33836,783,null,null,12570,21,16070,101,null,null,710,null,null,5420,28,1392,13,null,38,null,1977,1325,null,14523,null,8854,null,null,1029917,null,252,992,23246719,0,3,null,23796761,42,3,155,330,null,32,null,4849,null,null,6353,null,null,null,13112,null,null,null,0,null,null,null,756,1084716,64,null,788,null,43,132,5,16,null,"Latrobe - Gippsland",null,null,129768,null,483,null,29,11869,3221933,7000,null,2231,221018,1571,7198,5,null,null,null,864,381,null,42,3,null,null,783,2,null,null,null,3,19144,10209,2145,1595,null,843875,null,622,null,56,20,3,66515,null,10934,55,149354,null,null,57,null,7,null,5187,205,674,41458,null,null,null,5000,null,663904,1293,427,10,null,330,2035,914,null,34,244,null,null,244992,null,129739,null,null,null,null,8338,20869,null,null,null,1084716,null,null,null,null,5082939,6901,13,1458,588,51675,null,49488,62,null,7,null,427,null,40,15437,null,null,133,null,null,511,550042,31,31,null,null,null,null,14882,3131,414,66,6085,4354,6,3616,null,2543,20,1637,6,null,null,4494,26,1043,39647,null,66,53,209,1,81,null,4,15,null,12839,1056,99,1,null,null,8748,25,null,7,1,260428,344,3258,null,null,20,7664109,7676,12,1052936,290291,null,387,238,9,null,796,null,382,6489,"205",35,30,1815,153,133,345,5,31747,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,2,null,null,52,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,240,null,29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,459,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Melbourne - Inner South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,null,null,null,17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208",null,null,null,null,null,12,null,null,4,null
null,862,null,null,null,null,null,28,111,null,null,null,null,null,41,null,15223,null,null,null,5104,null,null,null,null,1400,null,32737,20,null,null,3926,null,1315,null,null,null,583,null,null,null,null,86229,null,88,17,9068,null,29267,null,6,null,null,null,null,null,null,null,null,3479893,153,null,6,null,null,null,null,null,4014,10414,null,null,null,732,null,1225,null,null,null,794,null,615,null,null,null,null,5,3926,15223,195952,null,2645,null,0,9,null,null,null,null,null,null,1793,null,null,null,1,null,null,5,null,null,null,1082,9,null,null,null,null,14274766,null,10060,null,null,null,null,null,null,null,null,0,"Melbourne - North East",null,null,38,null,1225,null,null,null,643576,null,510574,1364,48423,null,6000,3,5,null,871692,3629310,null,862,null,null,null,null,null,2,68712,null,9,4,null,null,null,1225,4632,235451,9416,null,111,null,null,null,null,null,null,null,3907,null,null,100,null,null,null,248,null,153,null,null,1195,26,4650,null,null,null,7,null,null,null,615,14,null,null,null,null,null,182339,13,null,29,null,null,null,null,1014,null,null,null,10060,6,null,null,null,null,null,null,2278,2449,731,41,null,150755,127240,58,68,7,null,null,143657,null,null,73569,null,7078,null,null,null,null,null,5,null,null,null,null,3674,null,1606,null,null,20126,null,1400,null,null,49,null,null,245,null,null,null,null,null,null,106,null,null,29,1,null,null,null,7,null,null,null,null,15685,null,32,84,null,325996,null,null,null,null,null,null,null,null,null,37,null,3674,null,null,null,null,null,1225,null,"209",null,null,null,null,73569,null,null,677,147,null
null,5486,1484,null,null,null,null,null,29427,null,null,null,2,null,1,null,8124,2449,null,null,13708,null,null,null,null,null,null,null,null,null,null,24585,null,null,null,null,null,null,null,null,510,null,null,null,null,null,70475,null,31483,null,3,null,null,null,null,null,null,null,275,738818,22,null,6,null,null,null,null,null,1492,458,null,null,null,null,null,null,null,null,null,924,null,null,null,null,null,null,null,43188,8124,null,null,36292,null,null,10,null,null,null,1,null,null,2466,null,null,2621,6,null,null,null,null,null,null,100,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Melbourne - North West",null,null,13579,null,null,null,null,null,null,null,null,922,null,null,null,null,10,null,null,null,null,3422,null,null,null,null,null,null,null,null,10,2,null,null,97347,null,3089,48081,4166,null,44025,null,null,null,null,14599,null,null,7016,null,null,100,null,44745,null,48,null,92,null,null,1064,null,null,null,null,null,null,null,null,null,null,null,null,null,275,null,null,50353,null,null,62,null,null,null,1463,13254,null,null,null,null,6,null,null,null,null,null,null,null,null,180,null,null,null,null,null,43937,null,null,null,2959,null,null,null,null,4111,null,null,null,null,18603,10,null,null,null,null,6118,null,null,null,3,null,null,null,null,580,null,null,null,null,47194,null,null,null,null,null,null,null,null,62,null,7,null,null,null,321609,null,null,null,null,null,12447,null,null,53312,null,null,null,null,null,null,null,null,null,31490,null,5608,null,null,null,null,null,null,null,"210",null,null,null,null,null,null,3,null,1,null
null,null,null,null,null,1232415,null,null,637,335025,null,null,null,null,null,27,10346,null,35,12,279,null,3567,null,null,null,null,null,18,null,null,427,null,19749,null,139554,null,12374,null,122,36626,18208,null,null,null,null,732,null,21431,null,6,null,339946,null,null,null,null,null,1609,2940000,683,null,null,null,null,null,null,null,3698,null,20,1018,251,7376,null,4899,null,null,null,1481,null,18123,null,null,null,209,29,427,10346,null,null,847844,null,null,null,null,null,null,null,null,null,1982,18,null,null,null,null,null,29,null,null,null,null,1762,null,null,null,null,null,null,null,2,null,3410,218,null,2449,null,null,20,"Melbourne - Outer East",null,null,26,null,2449,null,null,767,null,8390,null,null,null,null,null,15,1516,null,null,null,null,null,null,null,null,null,null,27,null,null,1545,null,8000,1312434,null,4899,8436,100000,4667,1617,637,157,69,null,null,null,8345,1,null,null,null,100,null,null,null,null,166,null,null,20,1481,31,null,null,483200,null,null,91,null,null,18143,null,null,null,null,null,null,null,null,305462,14382,null,null,218,null,null,null,null,88,null,null,null,57,null,null,null,50,null,66603,null,null,null,null,null,177,583,null,null,null,null,null,null,22406,null,8436,null,null,29,29,null,1734,null,null,null,null,160738,null,277972,null,null,2717,null,null,null,null,null,null,null,97972,null,null,null,null,null,50,null,null,null,12709,null,null,null,null,null,null,156,8,null,null,null,null,208,null,null,null,null,1674,null,69,8109247,8345,236,4921,583,null,124113,null,null,null,null,null,2449,null,"211",null,null,null,49,22386,null,null,3216,null,null
19740,192,null,null,null,65409,null,null,11532,null,null,null,null,8034,null,null,52750,null,null,null,3005,null,null,null,34997,null,28,null,null,null,null,11535,null,8852,null,null,11754,8299,null,null,null,null,20000,null,85,36,14820,null,null,null,null,747,null,null,null,null,null,54295,194,14797272,2536,null,2,null,null,null,403,null,14388,61303,null,null,null,553,null,null,null,null,38,null,null,null,null,718,null,4053,null,11535,null,null,null,null,6486085,null,5,null,6486085,24,null,null,null,15366,null,null,null,null,null,16712,null,null,null,8684,null,2,940,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Melbourne - South East",2125,null,280,null,15736,null,36,null,null,143,null,1276,null,null,444,null,2,null,null,62219,17,192,51,null,null,null,null,4,null,null,2,null,null,1000,248721,null,36498,556840,22995,null,11532,null,null,null,8198,null,null,null,null,null,null,null,null,null,null,null,null,274,null,null,null,2,null,null,null,null,null,8326,null,null,null,45,null,null,187,null,null,null,null,null,3,null,null,null,null,800,null,null,565,null,2,null,null,null,null,null,null,null,69016,10161,null,14830,238815,null,5,13750,null,null,null,23756,null,null,4641,7176,37774,null,null,null,null,null,2,null,null,null,null,null,null,null,1050,null,6417,null,null,null,null,null,null,null,null,null,null,3076,null,null,null,121,null,null,3,4,null,null,8684,null,null,7,null,null,23204,null,null,7,null,null,329,null,null,null,null,null,null,null,null,13750,null,null,null,null,null,null,null,15736,null,"212",null,null,747,514,4641,14,null,3558,null,null
null,null,null,null,null,null,null,null,4087,null,null,null,3,1226,null,20,2006,null,null,41,3412,null,null,null,2146,2333,null,134726,21,null,null,3651,13,null,null,null,null,null,23,578,null,null,22194252,null,13,8,10759,null,25060,null,null,null,null,null,null,27826,null,5651,36,4858346,24,null,null,null,null,null,11621,null,494,203,null,6,null,null,null,294,null,null,null,277,null,294,null,null,null,null,null,4972,7658,null,null,null,null,null,1,null,null,null,null,1278,null,687,null,null,null,null,null,70011,null,null,null,13996,494,null,63,5,null,null,null,null,198304,null,null,null,null,74,null,5,null,10,"Melbourne - West",null,null,2375,null,171,null,null,6,2806958,null,null,426,134726,23,9431,11,null,null,null,980,483,null,null,null,null,null,null,21,null,null,null,5,null,null,20000,294,1737,220184,825,null,4087,null,null,null,2179,null,580,null,null,null,null,26,null,null,null,null,81,341,null,null,2339,null,null,61,450000,null,85,4899,null,null,294,2353,null,4,33,null,null,135877,null,17929,null,null,null,null,1126,null,null,null,null,198304,null,null,null,null,null,null,7,null,3674,61,null,292,null,null,2,5563,85,null,null,null,null,null,392,null,10666,null,null,null,null,1322,null,null,null,8009,1619,null,null,3184,null,3,31219,null,2333,null,382,3,null,null,2939,null,0,292,null,null,7,21,null,null,null,5,null,null,13996,245,null,null,null,null,null,13,615,2,null,135877,null,null,null,null,null,358583,580,221,null,4949,null,null,null,10,null,null,null,171,null,"213",null,0,null,80,392,null,3,null,101,null
85761,609,null,null,null,14112,null,null,null,null,22,null,null,null,15,null,15509,11,null,null,52,null,614,null,null,null,null,164473,28,null,null,99,16,17,null,null,null,null,25,null,398,null,1345558,3,182,16,178,110,21051,null,null,497,null,null,12,494,null,2,null,630791,1868,2,4,null,null,22,150,11,2702,274,110,null,null,17,null,105,15,null,null,1739,null,314,null,2912,null,1562,2,110,15511,3,46,13935,9323795,296,null,null,9415899,24,15,22,null,9391,null,null,null,2,null,null,2,null,2,18911,null,1353,2,null,null,2,null,17,null,null,null,614,null,0,null,null,null,3,"Mornington Peninsula",null,11,16,null,134,null,null,null,4604750,9030,null,null,186193,25,8099,3,1351,null,null,31549,6,609,48,null,null,null,null,4,null,null,1353,null,null,18060,null,215,8128,28510,3416,null,6,null,11,null,null,6,null,null,6131,null,null,100,null,9406,null,null,null,null,6140,22,1739,0,10631,null,6560337,null,null,null,null,22,424,166,null,null,250,null,11,182394,null,null,5139,null,null,null,null,2840,null,null,1827,null,4,null,null,null,12625,12,null,3143377,539,71,null,396,761983,3,41,57,null,null,null,22504,null,null,1246,null,8128,null,92104,null,11,11,1351,null,null,null,null,6522,34,784,null,4,20593,null,null,3,null,26,null,null,261,9417,null,396,null,17,null,197,null,null,5139,5,13,null,18750,780,122563,2,null,null,21720,16,5,41,null,204898,null,null,null,null,null,null,null,null,null,52,1,6124,null,null,null,null,null,123,6313,"214",null,null,498,null,1224,61,null,32241,212,null
null,2624584,null,10,5,76833,null,null,null,null,null,null,2,12842,1284,null,null,131188,36,null,null,158182,140867,null,41390,1983,null,20252,28,null,null,null,38,70713,null,24689,30935,54063,1366,null,null,null,424367,null,null,8,4119322,null,4718889,null,null,415,678831,2,null,null,null,72999,28144,696651,2678,null,null,1224,null,null,871,8296,null,136624,null,null,20831,null,875,1083370,null,9664,null,null,832770,492973,null,37021,null,null,1761,2116098,null,5389157,null,null,4329400,null,null,null,4329400,null,null,null,6196,29324,null,null,null,null,null,24772,911,null,null,10422,31117,null,4253,null,1309,null,null,170649,103828,28,null,111854,null,null,7317150,6,null,17,"North West",3314,null,null,null,null,null,38,null,564905,null,null,null,20252,543,7626,18,8164,295,55151511,814,26,1128793,44,null,null,null,476790,10,4972739,null,9074,3,24689,null,661791,1262516,null,30305,null,42515750,1664488,null,264408,3,11199,null,null,28,2874051,1224,null,null,null,1252177,434,9360,null,null,null,null,null,2,null,10175,10480,12561,52,null,null,6196,563803,56,null,null,28132,null,null,9212378,11,null,null,null,null,null,2416260,3346768,null,null,3435,103828,null,null,57,null,497435,null,null,null,null,22830,1284,51289,48,416418,10,1753456,52,6143,null,1031127,null,null,34,null,null,6424,null,750302,828445,1346860,null,null,null,null,null,null,null,null,null,null,891,90,1983,null,763203,24,null,null,18907847,1383365,null,20355,null,12467,null,null,2,null,198048,3,50,null,10422,null,62748566,null,null,131,null,38,null,12,null,10243505,823,null,null,21,204806,null,null,null,678831,null,37,null,null,12,null,null,null,null,7223,"215",1946,null,415,12,34,834,3,82,1488,8499
53,null,null,null,null,4786,null,null,132169,null,5771,null,2,null,61,63,null,null,null,41,null,null,null,4062,null,null,20,2661142,39,null,null,105681,null,null,37877,20000,null,null,null,600,64857,null,null,null,28,3,null,null,null,null,null,1,28743,null,null,76,null,null,9617,null,2167,null,12,null,36,11,973,17233,18587,null,null,null,null,3200,80,null,null,641,50,null,5719,842768,null,707,null,3224,33,null,null,null,null,832931,31019,0,3,null,31019,23,12,7,14706,null,null,null,null,5,null,105,33,33777,null,22440,null,null,10716,null,null,null,null,null,null,1,null,null,8,83,null,7,13,null,"Shepparton",null,null,36059,null,null,null,null,null,102480288,null,null,14283,2977831,null,null,37,null,0,null,80487415,43,null,51,null,null,null,3839,22,null,null,null,8,20000,null,32504,null,null,null,null,3019255,null,null,null,null,null,28316,204176,1,314017,null,null,null,null,78614,null,null,90,4343,null,92790,null,14,200,null,200000,null,null,210,null,20477,935552,null,null,40,9430,null,null,5989146,null,385573,null,null,null,8,null,null,null,null,72,null,12,null,69,null,null,null,361,29,null,32293,50,null,null,null,173,null,null,1,1902,null,null,null,1203765,null,null,null,null,43607,43607,77176,null,null,null,null,null,248426,null,31499758,1000,null,223,null,null,null,null,72,null,null,null,78614,1501,null,null,null,2264,31,1,88,null,3,7,null,22440,null,587449,null,12,null,null,null,24709,187,1,6803603,null,166619,91,10,null,24268392,null,13288,28743,null,null,183569,11428,8,null,3,null,null,null,"216",65,37,1,130,1110975,14,3,1051,null,598
12,null,null,null,null,362,null,null,1861713,null,null,null,2,96595,32,5,567689,null,null,7,null,null,null,565,358682,null,3,6288,23,null,null,1875323,38,null,null,null,3847,null,105,null,null,null,1288,null,13,5,4776663,null,1541034,null,4,null,null,2,null,null,null,572933,27,128365,5457,null,4,null,null,null,null,null,177502,null,null,1052,172,null,null,null,null,null,12,106577,17197,null,null,null,null,154,2,2852845,1140622,null,null,null,null,7,null,null,null,null,0,null,null,null,null,null,null,null,null,1876,2,6901,null,null,12176,118,null,1,null,null,null,null,null,null,null,null,null,50,null,null,null,null,"Warrnambool and South West",null,null,null,null,null,null,40,880,144971,2000,null,16168,6619,8,1000,null,116,null,null,null,null,null,null,5,null,null,7278,null,null,null,118,null,null,5152,76,null,459449,5181,null,null,2525541,null,null,3,92029,null,185,null,304048,null,null,50,null,null,null,null,45,3290,null,null,120693,0,14167,2330,810000,5968,null,6007,null,null,null,1,null,null,null,null,null,6288,null,33329,458,null,null,null,68584,null,null,null,null,null,4,null,null,null,null,null,4,96830,null,null,31,3950,36,null,10,2658411,null,null,null,330,null,null,null,null,534000,1194,null,null,null,null,116,null,null,46206,6972,null,null,null,31,8,3625,null,null,null,19481,null,null,null,null,null,null,103,null,null,4,18,1,null,458,5,null,null,null,39,null,3,null,null,330,13,null,11,null,6619,97,null,null,null,null,179977,185,5,null,2175712,null,null,null,12,null,null,null,null,null,"217",212,null,null,null,null,null,4,6,null,null
