_2016_deaths, _2019_est_res_population, _2015_deaths, _2018_est_res_population, _2017_std_death_rate, _2013_deaths, _2012_std_death_rate, _2016_est_res_population, sa2_name16, _2018_std_death_rate, _2012_deaths, _2015_std_death_rate, _2013_std_death_rate, _2016_std_death_rate, _2013_est_res_population, _2019_deaths, _2019_std_death_rate, _2012_est_res_population, _2014_deaths, _2015_est_res_population, _2014_std_death_rate, _2017_deaths, _2017_est_res_population, _2018_deaths, sa2_code16, _2014_est_res_population
34,8840,35,8866,6.1,25,5.9,8749,"Craigieburn - Central",6.2,22,5.8,6.0,6.5,8524,28,5.2,8417,29,8654,5.5,30,8833,35,"210051441",8610
18,13337,19,13154,null,14,null,12124,"Craigieburn - North",null,10,null,null,null,10095,20,3.5,9223,13,11518,null,22,12716,12,"210051442",10899
43,20202,18,18561,6.3,9,null,14882,"Craigieburn - West",5.9,3,null,null,4.7,8135,54,5.6,6073,9,12328,null,42,16797,31,"210051444",10244
7,11227,5,7361,null,7,null,3580,"Mickleham - Yuroke",null,10,null,null,null,1863,16,null,1723,6,2762,null,12,4836,14,"210051445",2209
87,13071,97,12896,5.6,78,5.8,12584,"Bayswater",4.8,74,5.5,5.7,5.5,11995,104,5.0,11807,79,12415,5.2,92,12732,64,"211011251",12219
67,17194,59,16765,4.6,64,5.8,15752,"Knoxfield - Scoresby",4.4,64,5.0,5.2,5.0,14236,65,4.0,13858,76,15140,5.4,73,16298,59,"211011254",14645
35,20617,45,19514,5.8,20,7.0,16999,"Craigieburn - South",4.3,42,7.5,7.3,7.4,14422,39,3.6,13477,33,16009,8.1,33,18269,41,"210051443",15261
20,7023,20,7013,null,21,null,6917,"Lysterfield",null,12,6.2,4.9,null,6869,12,null,6837,17,6898,null,27,6950,16,"211011255",6884
21,8372,28,8383,3.2,22,4.0,8352,"Rowville - North",2.7,26,3.6,3.7,3.4,8351,28,2.9,8352,23,8342,3.7,21,8392,23,"211011257",8347
21,10966,25,10963,3.4,24,4.4,11000,"Rowville - South",3.5,23,3.6,3.8,3.4,11153,30,3.4,11191,27,11044,3.9,42,10988,33,"211011258",11099
113,14643,112,14592,4.9,119,5.6,14425,"Wantirna",4.7,116,5.8,5.6,5.5,14338,167,5.8,14326,132,14376,6.0,100,14489,105,"211011259",14355
179,18995,155,18853,5.0,143,5.2,18580,"Wantirna South",4.8,140,4.6,4.9,4.9,18243,146,4.3,18175,140,18437,4.9,162,18673,142,"211011260",18326
42,15920,46,15940,3.7,46,4.6,15864,"Rowville - Central",3.5,48,3.6,4.3,3.4,15837,53,3.6,15832,46,15835,3.8,61,15913,46,"211011256",15839
199,23734,176,23449,5.9,184,6.4,22918,"Boronia",6.2,194,6.2,6.4,6.3,21740,214,6.4,21567,215,22430,6.6,198,23248,212,"211011446",22047
131,14642,126,14517,6.4,115,6.1,14337,"Ferntree Gully (North)",6.0,107,6.3,6.4,6.4,14041,117,5.9,13939,113,14214,6.1,119,14399,111,"211011447",14120
73,18847,78,18839,4.3,65,4.5,18752,"Croydon Hills - Warranwood",4.0,62,4.3,4.0,4.5,18664,78,3.8,18619,72,18697,4.1,68,18788,68,"211031265",18692
142,18861,172,18488,5.8,160,6.3,17931,"Ringwood",5.3,176,6.1,6.2,6.0,17152,154,5.3,16882,158,17654,6.2,147,18289,164,"211031266",17410
108,15478,90,15336,6.8,91,7.5,15230,"Ferntree Gully (South) - Upper Ferntree Gully",6.5,82,6.4,7.0,6.6,15170,118,6.7,15148,95,15192,6.4,97,15253,76,"211011448",15179
138,21744,161,21544,5.1,170,5.8,21031,"Ringwood East",4.5,154,5.8,5.9,5.3,19976,165,4.7,19818,155,20657,5.8,143,21341,119,"211031267",20300
73,10076,73,10099,6.1,55,6.1,9991,"Ringwood North",6.1,61,5.6,5.8,6.1,9775,72,5.9,9711,55,9910,5.5,61,10062,74,"211031268",9857
20,4472,26,4478,null,32,null,4441,"The Basin",null,18,null,null,null,4418,21,4.2,4417,20,4423,null,17,4463,12,"211011449",4419
121,16895,130,16877,4.7,107,5.3,16715,"Donvale - Park Orchards",4.8,109,4.9,4.9,4.8,16282,131,4.9,16190,130,16520,4.9,128,16806,142,"211021261",16399
50,10657,51,10658,4.5,23,4.0,10613,"Warrandyte - Wonga Park",4.0,38,4.1,3.7,4.7,10524,61,4.0,10508,46,10560,3.8,48,10645,41,"211021262",10538
111,16543,109,16367,5.5,87,5.8,15724,"Croydon - East",5.0,97,5.1,5.2,5.4,14632,127,5.2,14349,101,15363,4.9,108,16059,83,"211031450",15012
138,14666,128,14418,5.2,138,5.5,13805,"Croydon - West",5.0,126,5.5,5.9,5.4,12475,130,4.7,12062,132,13343,5.6,119,14163,127,"211031451",12891
105,12517,121,12470,8.1,83,6.3,12257,"Bayswater North",7.8,69,7.9,5.9,8.1,11952,110,8.6,11866,100,12126,6.6,113,12351,104,"211031263",12033
115,11476,108,11387,5.3,98,6.2,11074,"Forest Hill",5.3,113,4.8,5.8,5.2,10636,101,5.1,10483,102,10874,5.1,108,11283,94,"211041269",10772
59,17527,72,17392,3.3,59,4.3,16859,"Mitcham (Vic.)",3.4,70,3.6,3.8,3.6,16205,83,3.7,15804,74,16686,3.7,63,17162,85,"211041270",16482
59,11310,50,11176,4.1,68,5.1,10896,"Vermont",4.2,63,4.8,4.9,4.6,10517,65,4.3,10392,73,10750,5.1,60,11041,63,"211041272",10619
101,12388,90,12388,4.8,80,4.6,12251,"Vermont South",4.8,69,4.4,4.5,4.3,12004,130,5.1,11946,73,12143,4.1,118,12347,99,"211041273",12070
89,12925,80,12839,3.9,96,5.3,12363,"Nunawading",3.9,88,4.8,5.3,4.5,11742,94,4.0,11576,90,12089,5.0,74,12651,82,"211041271",11867
32,10414,34,10452,4.3,38,null,10453,"Belgrave - Selby",4.4,15,4.5,4.4,4.2,10423,37,4.3,10416,25,10429,3.5,28,10463,39,"211051274",10424
38,11383,42,10987,3.6,36,5.0,10266,"Chirnside Park",3.7,45,3.8,4.5,3.7,9590,46,3.7,9497,37,9941,4.0,43,10645,54,"211051275",9711
124,14638,100,14512,5.8,89,5.6,14106,"Healesville - Yarra Glen",5.7,82,5.6,5.4,6.0,13597,113,5.2,13370,96,13900,5.5,95,14304,105,"211051276",13754
112,9833,127,9656,7.0,136,8.7,9470,"Kilsyth",6.1,128,7.7,8.1,7.1,9047,92,5.8,8918,113,9280,7.7,110,9580,91,"211051277",9139
104,19860,115,19780,4.8,93,4.8,19448,"Lilydale - Coldstream",4.3,89,5.0,4.5,5.0,18778,132,4.4,18668,117,19212,4.8,114,19630,94,"211051278",18925
20,5849,25,5859,4.1,23,null,5827,"Monbulk - Silvan",4.3,17,3.9,3.9,3.7,5788,28,4.5,5774,24,5791,3.6,28,5855,28,"211051279",5791
83,7138,64,7154,5.8,47,5.1,7078,"Montrose",5.6,55,5.2,4.7,6.0,7004,81,5.8,6987,65,7031,5.1,53,7131,65,"211051280",7011
112,24057,121,23724,4.9,97,5.1,23027,"Mooroolbark",4.8,100,5.4,4.9,5.4,21824,121,4.7,21525,119,22604,5.3,97,23466,125,"211051281",22208
39,10197,42,10137,3.8,34,3.7,10109,"Mount Dandenong - Olinda",3.6,29,3.9,3.7,4.0,10064,32,3.2,10062,33,10066,3.7,32,10127,42,"211051282",10065
60,22657,92,21640,5.2,77,6.3,19370,"Pakenham - North",4.4,70,6.3,6.2,5.6,15782,99,5.1,14397,78,18074,6.2,76,20564,71,"212011291",16974
41,10298,22,10208,3.9,30,5.1,10081,"Mount Evelyn",4.2,36,3.5,4.6,3.8,9768,40,4.0,9695,28,9941,4.6,35,10170,33,"211051283",9839
45,14044,57,14092,3.8,46,5.2,14160,"Endeavour Hills - South",3.1,50,4.0,4.4,3.8,14177,60,3.3,14184,42,14139,4.1,45,14140,36,"212021454",14156
66,17486,79,17132,8.5,63,8.4,16067,"Lynbrook - Lyndhurst",8.1,62,8.6,7.8,8.2,14042,89,9.6,12994,64,15459,8.4,79,16614,65,"212031306",14794
32,8176,23,8155,4.3,27,5.4,8035,"Pearcedale - Tooradin",4.6,30,4.2,5.3,4.4,7752,45,4.9,7718,30,7896,4.8,32,8092,35,"212031308",7811
31,10023,37,10048,4.7,26,4.4,10040,"Upwey - Tecoma",3.9,32,4.7,4.3,4.9,10026,32,3.7,10045,33,10019,4.5,34,10041,26,"211051284",10017
30,8067,26,8055,4.6,28,4.5,7884,"Wandin - Seville",4.7,24,4.6,4.0,4.8,7700,31,4.4,7658,35,7798,4.6,31,7959,33,"211051285",7748
125,16836,117,16751,6.0,86,6.3,16622,"Yarra Valley",5.6,105,5.7,5.6,6.3,16460,125,5.3,16409,112,16537,5.7,100,16665,94,"211051286",16496
24,19859,27,17576,3.6,17,5.3,13612,"Beaconsfield - Officer",3.4,23,3.6,null,3.5,9610,39,3.2,8931,16,11784,null,28,15446,37,"212011287",10331
51,9346,46,9154,4.5,45,6.3,8928,"Bunyip - Garfield",4.4,50,5.2,5.8,5.2,8610,54,4.2,8514,55,8796,5.7,43,9026,45,"212011288",8700
94,18905,101,18776,5.8,110,5.9,18580,"Emerald - Cockatoo",5.6,78,6.4,6.0,5.9,18144,96,5.6,18072,89,18375,6.0,91,18722,92,"212011289",18241
52,8566,53,8152,5.5,54,6.2,7666,"Koo Wee Rup",5.3,51,6.6,6.3,6.3,7042,52,5.2,6887,67,7397,6.8,48,7965,49,"212011290",7204
165,33108,137,32087,5.8,111,5.8,29580,"Pakenham - South",5.6,106,5.8,5.6,6.0,25571,174,5.5,23781,140,28050,5.8,155,30959,145,"212011292",26800
155,24176,187,24040,4.5,165,4.8,23824,"Berwick - North",4.4,157,4.7,4.6,4.5,23336,206,4.8,23183,172,23614,4.7,183,23999,200,"212021293",23455
45,29079,65,28500,4.2,37,5.0,26874,"Berwick - South",3.4,45,4.2,4.5,4.1,24806,57,3.4,24316,41,25990,4.0,51,27742,47,"212021294",25336
106,12274,88,12210,7.3,77,6.5,11867,"Doveton",7.0,78,6.4,6.9,7.0,11207,86,6.2,10919,73,11665,6.3,81,12067,84,"212021295",11484
79,11768,82,11630,7.1,81,7.5,11335,"Hallam",7.2,84,6.8,7.8,6.7,10885,109,8.0,10757,77,11125,7.1,103,11525,96,"212021297",11017
61,8646,55,8549,6.7,47,6.9,8183,"Narre Warren North",7.4,59,6.1,6.1,6.2,7524,73,8.4,7377,65,7909,6.6,81,8357,69,"212021299",7712
70,12500,84,12515,6.4,59,7.6,12499,"Endeavour Hills - North",5.6,81,6.7,7.6,6.8,12477,64,5.3,12468,79,12477,6.8,78,12483,60,"212021453",12475
42,14195,36,14169,3.7,30,6.5,13967,"Narre Warren - North East",3.5,37,4.3,4.7,4.4,13771,55,3.4,13705,44,13890,4.8,34,14048,36,"212021455",13838
84,15009,76,14889,5.5,90,6.0,14544,"Narre Warren - South West",5.2,87,6.4,6.6,6.0,13744,105,5.6,13495,87,14230,6.7,70,14736,68,"212021456",14016
46,24904,47,23885,4.1,36,6.3,20985,"Cranbourne North",3.8,41,4.1,5.1,3.9,16945,45,3.4,15944,33,19505,4.4,39,22497,53,"212031302",18101
70,11972,63,10255,6.8,74,7.0,9116,"Cranbourne South",6.9,55,7.0,7.0,6.7,7950,85,7.1,7357,65,8703,6.9,69,9392,68,"212031303",8355
37,19755,35,18604,6.0,33,9.0,15685,"Cranbourne West",6.2,32,5.6,7.9,5.2,11210,63,7.3,9933,29,13995,6.5,53,17145,42,"212031304",12651
75,27656,77,27470,4.1,60,6.9,26780,"Hampton Park - Lynbrook",3.9,75,4.1,5.2,4.2,25295,93,4.0,24973,68,26239,4.6,73,27142,73,"212031305",25765
22,13864,30,13871,3.5,21,null,13713,"Narre Warren South (East)",3.0,14,4.3,3.2,4.0,13476,32,3.2,13296,29,13604,3.4,25,13814,24,"212031457",13561
39,17860,44,17825,5.0,30,6.9,17513,"Narre Warren South (West)",4.9,43,5.1,5.7,5.1,16968,50,4.9,16755,45,17321,6.0,50,17718,47,"212031458",17126
98,12340,95,12361,5.1,84,6.1,12323,"Clarinda - Oakleigh South",5.0,85,5.1,5.5,5.3,12248,78,4.4,12218,85,12290,5.1,85,12354,94,"212041309",12272
65,14288,63,13827,4.7,47,3.8,13296,"Clayton South",4.2,50,4.2,3.6,4.5,12823,61,4.0,12569,59,13141,3.8,65,13507,53,"212041310",13000
216,34295,234,33934,6.2,198,6.4,32700,"Dandenong",5.7,217,6.2,6.2,6.3,29850,297,6.2,28577,214,31909,6.3,215,33396,208,"212041311",30987
178,23960,180,23915,5.8,157,5.9,23684,"Dandenong North",5.2,147,6.0,5.8,6.0,23178,130,4.5,23056,166,23449,5.7,154,23820,137,"212041312",23302
63,10753,61,10687,4.0,67,4.3,10611,"Dingley Village",4.0,65,4.1,4.3,3.8,10616,48,3.6,10597,57,10603,4.4,69,10642,71,"212041313",10608
117,13620,93,13501,6.7,106,7.5,13073,"Noble Park - East",6.8,103,7.0,7.5,7.0,12331,120,7.0,12116,108,12801,7.4,94,13301,97,"212041459",12581
119,30889,100,29856,4.5,86,4.7,27471,"Keysborough",4.5,93,4.4,4.6,4.6,23054,144,4.5,21808,113,25758,4.7,129,28749,110,"212041314",24327
42,7936,43,7928,4.9,29,4.6,7871,"Noble Park North",4.2,33,4.0,4.0,4.5,7763,38,3.7,7754,31,7826,3.7,42,7906,29,"212041316",7783
149,23915,129,23642,4.5,111,4.7,22761,"Springvale",4.6,114,4.2,4.6,4.5,21132,150,4.4,20940,127,22188,4.2,139,23256,143,"212041317",21505
76,13408,79,13372,6.3,65,6.3,13227,"Springvale South",5.7,67,6.2,6.0,6.5,12844,70,5.2,12764,80,13065,5.9,75,13321,67,"212041318",12964
160,20178,169,19992,6.9,155,7.3,19435,"Noble Park - West",6.9,184,7.1,7.1,7.2,18350,165,7.0,18101,176,19065,7.2,152,19769,169,"212041460",18686
115,20606,130,20204,5.0,122,5.4,19308,"Ashwood - Chadstone",5.2,136,5.2,5.7,5.0,18002,141,5.5,17522,127,18835,5.5,127,19872,147,"212051319",18437
163,27555,170,26785,7.1,139,6.0,23672,"Clayton",6.4,127,6.5,5.8,7.1,20645,229,8.1,19686,134,22510,5.9,134,25484,137,"212051320",21471
111,22472,109,22404,3.1,94,3.5,22153,"Glen Waverley - East",3.0,100,3.3,3.3,3.4,21813,136,3.1,21689,130,22020,3.3,113,22293,105,"212051321",21922
126,20964,124,20687,4.3,153,4.7,20151,"Glen Waverley - West",4.2,129,4.4,4.7,4.1,19644,144,4.3,19453,122,19951,4.5,145,20442,125,"212051322",19799
83,16452,78,16334,3.0,78,3.3,16053,"Mount Waverley - North",2.9,66,3.0,3.2,3.0,15759,71,2.6,15699,70,15903,2.9,74,16219,76,"212051323",15822
120,20239,130,20009,4.0,141,4.2,19291,"Mount Waverley - South",3.8,114,4.2,4.3,3.9,18407,144,4.0,18145,127,18940,4.1,145,19637,115,"212051324",18698
160,21035,152,20900,5.1,129,5.2,20462,"Mulgrave",4.7,130,5.2,5.0,5.3,19466,186,4.9,18977,142,20181,5.0,147,20663,136,"212051325",19874
164,24068,169,23589,5.3,162,5.2,22617,"Oakleigh - Huntingdale",4.9,138,5.7,5.2,5.7,21662,154,4.6,21448,182,22225,5.5,165,23152,135,"212051326",21929
188,21038,207,21014,4.7,132,5.2,20880,"Wheelers Hill",4.4,146,4.5,4.6,4.7,20209,214,4.5,20165,158,20727,4.2,191,20976,193,"212051327",20450
59,8530,58,8458,6.5,49,7.4,8202,"Ardeer - Albion",6.2,70,6.2,6.9,6.4,7668,74,6.7,7520,55,7937,6.8,66,8342,50,"213011328",7773
17,10643,16,10569,4.6,19,null,10206,"Cairnlea",5.9,16,null,null,null,9698,35,7.7,9550,14,10040,null,27,10421,34,"213011329",9857
81,13834,70,13910,4.8,67,5.2,13943,"Keilor Downs",4.6,65,5.8,5.1,5.8,14070,83,4.4,14130,88,13960,5.9,59,13937,73,"213011332",14014
93,28920,88,28711,4.8,69,4.9,27536,"Deer Park - Derrimut",4.5,73,4.3,4.4,4.7,25344,96,4.4,24271,67,26746,4.4,87,28218,81,"213011330",26157
59,8816,45,8831,8.3,40,8.9,8841,"Delahey",8.2,59,7.4,8.1,8.1,8792,38,7.1,8777,45,8815,8.0,54,8843,60,"213011331",8807
55,14691,61,14645,5.1,56,5.0,14447,"Kings Park (Vic.)",4.6,44,5.2,4.7,5.1,14316,70,4.6,14306,56,14373,4.7,73,14586,56,"213011333",14336
109,21795,124,21686,5.1,103,4.8,21064,"St Albans - North",4.9,110,5.1,4.7,5.2,20037,120,4.9,19887,122,20490,5.0,134,21437,116,"213011334",20220
174,15425,171,15196,6.4,160,6.9,14787,"Altona North",6.0,152,6.4,6.7,6.2,14003,173,6.1,13786,152,14519,6.4,182,15024,149,"213021343",14271
112,18554,104,18487,5.8,102,5.4,18025,"St Albans - South",5.6,92,5.8,5.3,5.8,17310,180,6.4,17179,118,17725,5.7,131,18336,102,"213011335",17503
91,12533,96,12487,5.6,82,7.2,12123,"Sunshine North",5.8,88,5.7,6.6,5.7,11489,112,6.2,11302,88,11890,5.8,83,12331,117,"213011337",11693
94,10641,83,10539,6.7,76,6.9,10241,"Sunshine",6.7,74,5.9,6.4,6.6,9618,91,6.9,9392,73,10083,5.8,68,10411,73,"213011336",9843
111,12799,125,12768,10.4,80,10.4,12585,"Sydenham",10.8,76,9.4,9.8,9.2,12254,107,12.1,12158,83,12432,8.8,133,12702,114,"213011339",12335
118,20267,128,20123,5.5,110,6.3,19533,"Sunshine West",5.2,102,5.6,6.0,5.6,18196,143,5.4,17880,118,19013,5.3,129,19896,125,"213011338",18596
69,18323,56,18401,4.0,45,4.3,18455,"Taylors Lakes",3.6,46,4.3,4.3,4.3,18657,47,2.9,18764,54,18474,4.1,52,18421,57,"213011340",18532
89,14002,87,13713,4.5,82,5.1,13206,"Altona",4.0,103,4.3,4.9,4.3,12544,87,4.0,12361,87,12979,4.6,97,13443,70,"213021341",12757
131,20454,144,20409,6.5,122,7.3,20106,"Altona Meadows",6.0,123,6.4,6.8,6.2,19617,144,6.1,19573,115,19818,6.4,147,20313,126,"213021342",19690
88,19563,95,19180,5.1,104,5.7,18523,"Newport",4.7,96,5.9,5.8,5.4,17399,93,4.7,17106,97,18134,5.8,91,18836,83,"213021344",17756
16,5542,15,5517,null,11,null,5408,"Seabrook",null,9,null,null,null,5265,13,null,5232,18,5352,null,14,5464,13,"213021345",5305
81,17270,102,16932,4.6,85,4.9,16389,"Williamstown",4.0,86,4.9,4.8,4.8,15578,99,4.1,15470,88,16006,4.7,82,16636,76,"213021346",15781
47,12929,56,12613,4.6,41,4.6,12058,"West Footscray - Tottenham",4.9,57,4.6,4.5,4.7,11220,50,4.9,10966,48,11849,4.6,43,12322,65,"213031351",11527
94,20514,118,20138,6.4,97,6.3,19224,"Braybrook",5.8,100,6.3,6.3,6.1,17708,105,6.0,17177,97,18759,5.9,108,19795,101,"213031347",18296
141,19148,131,18631,8.9,140,8.3,17343,"Footscray",9.5,125,8.9,8.5,8.8,15280,174,10.5,14397,151,16762,9.1,166,18031,145,"213031348",16127
26,14115,32,13785,3.8,25,5.5,12950,"Maribyrnong",3.8,35,3.6,4.9,3.6,11692,38,4.1,11186,34,12562,4.0,41,13448,33,"213031349",12118
48,10121,67,10013,6.9,39,6.4,9711,"Seddon - Kingsville",6.3,41,6.1,6.1,6.4,9091,56,6.4,8897,42,9521,5.5,51,9875,53,"213031350",9321
84,16621,86,16233,4.8,79,6.0,15656,"Yarraville",4.8,93,5.1,5.7,5.2,14791,80,4.7,14556,87,15330,5.5,73,15891,88,"213031352",15074
116,22964,108,22222,5.4,97,5.6,20989,"Bacchus Marsh",5.3,101,5.3,5.4,5.2,19048,135,5.4,18119,108,20207,5.5,133,21636,110,"213041353",19632
39,25220,46,24151,4.1,26,null,21305,"Hillside",3.2,29,5.2,4.7,4.8,17143,48,3.0,16522,31,19597,5.0,35,22913,35,"213041355",18220
87,20596,101,20189,5.8,78,6.2,19560,"Melton",5.8,95,5.7,5.8,5.7,18767,106,5.9,18586,96,19242,5.8,115,19832,120,"213041356",18962
143,30689,143,28613,7.6,130,8.8,24243,"Melton South",7.2,109,8.1,8.5,7.8,19368,163,7.2,17717,134,22403,7.9,158,26473,145,"213041357",20841
48,20892,54,19964,5.0,39,5.8,18157,"Melton West",4.6,41,4.9,5.2,4.7,16051,60,4.6,15335,33,17387,4.7,51,19004,54,"213041358",16713
15,8815,15,6455,null,12,null,3148,"Rockbank - Mount Cottrell",null,3,null,null,null,2842,13,null,2791,16,3044,null,8,4050,12,"213041359",2957
31,21219,28,20918,3.8,29,4.2,20218,"Taylors Hill",3.8,21,3.5,4.1,3.2,17930,36,3.6,16991,22,19486,3.8,43,20670,31,"213041360",18685
45,5396,38,5296,6.5,32,5.7,4943,"Burnside",6.8,53,5.9,6.8,6.2,4618,59,8.0,4564,37,4812,7.2,50,5125,44,"213041461",4705
92,20664,80,20609,4.9,65,4.5,20220,"Hoppers Crossing - South",5.0,76,4.7,4.4,5.1,19708,85,4.5,19461,92,20001,4.8,92,20459,92,"213051362",19860
5,6785,11,6688,null,6,null,6431,"Burnside Heights",null,6,null,null,null,5849,8,null,5545,6,6265,null,10,6559,5,"213041462",6088
28,21849,37,21730,4.5,27,null,20968,"Caroline Springs",4.2,21,4.8,4.5,5.0,19290,41,3.6,18299,32,20377,4.6,40,21457,38,"213041463",19925
60,20279,54,20294,4.0,66,4.8,20172,"Hoppers Crossing - North",4.1,42,4.8,4.8,4.5,19829,74,3.9,19697,59,20034,4.9,57,20266,67,"213051361",19931
33,11577,24,10953,6.0,17,6.7,9385,"Laverton",6.0,21,5.1,null,6.5,6794,41,5.5,6224,27,8334,4.7,29,10279,34,"213051363",7504
56,46707,53,43410,4.4,37,4.6,36404,"Tarneit",3.9,31,4.2,4.2,4.2,28120,63,3.3,25743,41,33599,4.2,61,39743,49,"213051365",30659
32,33144,17,30256,3.8,19,null,24628,"Truganina",4.1,10,null,null,null,15743,43,3.2,13769,18,21470,null,35,27633,28,"213051366",18321
119,14162,121,13115,7.6,118,8.0,11776,"Werribee - South",8.0,120,7.3,7.8,7.2,11141,178,9.0,11008,104,11491,7.5,127,12286,146,"213051368",11305
74,29215,74,27220,7.4,54,5.3,24270,"Wyndham Vale",6.9,39,6.2,5.5,6.6,21095,87,6.5,19496,63,23113,5.4,99,25545,73,"213051369",22203
14,17886,10,16030,null,12,null,12818,"Point Cook - East",null,3,null,null,null,9139,23,2.8,7998,12,11567,null,21,14491,13,"213051464",10392
59,25541,29,25333,4.8,31,3.5,24288,"Point Cook - North",5.7,27,3.8,3.8,4.0,22113,59,5.4,21217,30,23593,3.9,65,24905,66,"213051465",22885
192,21064,156,20986,7.3,150,6.9,20643,"Werribee - East",7.2,166,6.9,7.3,7.4,19997,166,6.8,19810,148,20378,7.3,148,20844,144,"213051467",20178
43,16270,49,14315,5.1,44,7.3,12283,"Werribee - West",4.8,38,4.9,5.3,4.7,11327,42,4.3,11259,35,11735,4.9,53,13128,52,"213051468",11452
151,22264,181,22082,7.1,138,7.6,21549,"Carrum Downs",6.6,132,7.3,7.3,7.1,20584,166,6.8,20036,134,21291,6.8,159,21837,154,"214011370",20975
183,24104,191,23965,6.3,164,5.9,23510,"Frankston",5.9,174,6.2,5.9,6.4,22620,276,6.8,22417,173,23135,6.0,176,23719,167,"214011371",22850
199,19940,179,19966,7.0,177,7.3,19939,"Frankston North",7.2,180,6.6,7.0,6.9,19725,227,7.3,19682,184,19827,6.7,203,19966,207,"214011372",19777
180,19305,196,19217,5.0,141,5.1,18995,"Frankston South",4.8,148,4.8,4.7,5.0,18518,186,4.8,18369,177,18793,4.5,170,19113,166,"214011373",18652
89,25293,96,25155,4.4,90,4.4,24694,"Langwarrin",4.0,76,4.6,4.5,4.3,23649,108,4.0,23385,82,24357,4.6,91,24926,82,"214011374",24015
117,17490,95,17377,4.6,110,5.3,17151,"Seaford (Vic.)",4.8,94,4.8,5.3,4.9,16866,120,4.7,16719,94,17046,4.9,81,17263,116,"214011375",16980
37,14247,38,14085,4.7,25,null,13664,"Skye - Sandhurst",3.7,29,4.6,5.5,4.7,12389,46,3.7,11586,24,13341,4.7,32,13894,27,"214011376",12932
130,12566,118,12325,5.2,97,5.6,11454,"Dromana",5.1,101,5.1,5.1,5.5,9938,125,4.8,9584,116,10785,4.9,108,11939,128,"214021377",10275
43,5646,45,5653,4.9,39,4.1,5642,"Flinders",4.4,20,5.0,4.1,4.9,5580,48,null,5576,44,5604,4.1,47,5645,36,"214021378",5586
141,23654,163,23344,5.2,143,5.8,22851,"Hastings - Somers",4.7,125,5.6,5.7,5.4,21675,182,4.9,21292,145,22524,5.3,143,23096,137,"214021379",22130
267,26211,296,25914,5.1,217,5.8,25030,"Mornington",5.0,222,5.2,5.3,5.3,23942,291,5.0,23541,249,24633,5.0,272,25496,281,"214021380",24269
101,19140,119,19024,3.9,117,5.1,18696,"Mount Eliza",4.0,128,4.5,4.8,4.2,18210,119,4.0,18087,134,18471,4.8,125,18843,134,"214021381",18342
153,20022,141,19773,4.6,150,5.1,19365,"Mount Martha",4.4,137,5.0,4.9,4.9,18465,141,4.1,18133,156,19071,5.1,134,19601,131,"214021382",18881
127,18709,123,18433,3.7,128,4.6,17999,"Point Nepean",3.5,128,4.0,4.5,3.8,17233,132,3.3,16964,118,17731,4.3,131,18204,107,"214021383",17503
378,22286,359,22087,6.1,302,5.7,21613,"Rosebud - McCrae",6.0,283,6.0,5.5,6.4,20749,363,5.9,20461,353,21327,5.5,345,21893,344,"214021384",21029
131,19402,111,19270,5.4,98,5.4,18878,"Somerville",5.3,99,5.1,5.3,5.5,18209,121,5.0,18062,107,18685,5.2,116,19117,115,"214021385",18485
