estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, sa2_name_2016, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, sa2_maincode_2016, estimates_personal_income_year_ended_30_june_total_investment_m, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
null,null,null,441,null,"South Yarra - East",null,null,null,null,null,null,null,null,null,null,null,null,101,null,null,null,null,57,null,null,null,null,278,null,null,null,null,null,null,null,null,null,null,null,null,207,null,null,null,null,null,291,null,451,"206061137",null,null,884,18,null,324,null,null,null,194,null,2019,null,15,null,null,null,null,null
null,null,null,200,null,"South Morang (North)",null,null,null,null,null,null,null,null,null,null,null,null,134,null,null,null,null,68,null,null,null,null,598,null,null,null,null,null,null,null,null,null,null,null,null,106,null,null,null,null,null,211,null,368,"209041435",null,null,490,26,null,799,null,null,null,340,null,2019,null,30,null,null,null,null,null
null,null,null,110,null,"Toorak",null,null,null,null,null,null,null,null,null,null,null,null,14,null,null,null,null,13,null,null,null,null,102,null,null,null,null,null,null,null,null,null,null,null,null,92,null,null,null,null,null,90,null,292,"206061138",null,null,487,null,null,128,null,null,null,90,null,2019,null,null,null,null,null,null,null
null,null,null,94,null,"Carlton North - Princes Hill",null,null,null,null,null,null,null,null,null,null,null,null,29,null,null,null,null,30,null,null,null,null,141,null,null,null,null,null,null,null,null,null,null,null,null,170,null,null,null,null,null,141,null,286,"206071140",null,null,381,null,null,154,null,null,null,79,null,2019,null,null,null,null,null,null,null
null,null,null,195,null,"Abbotsford",null,null,null,null,null,null,null,null,null,null,null,null,31,null,null,null,null,12,null,null,null,null,95,null,null,null,null,null,null,null,null,null,null,null,null,95,null,null,null,null,null,135,null,356,"206071139",null,null,379,12,null,111,null,null,null,82,null,2019,null,null,null,null,null,null,null
null,null,null,261,null,"Wollert",null,null,null,null,null,null,null,null,null,null,null,null,207,null,null,null,null,144,null,null,null,null,1114,null,null,null,null,null,null,null,null,null,null,null,null,116,null,null,null,null,null,296,null,601,"209041437",null,null,501,21,null,1394,null,null,null,397,null,2019,null,126,null,null,null,null,null
null,null,null,334,null,"Fitzroy North",null,null,null,null,null,null,null,null,null,null,null,null,64,null,null,null,null,33,null,null,null,null,184,null,null,null,null,null,null,null,null,null,null,null,null,214,null,null,null,null,null,226,null,464,"206071143",null,null,844,19,null,216,null,null,null,177,null,2019,null,19,null,null,null,null,null
null,null,null,794,null,"Richmond (Vic.)",null,null,null,null,null,null,null,null,null,null,null,null,209,null,null,null,null,115,null,null,null,null,582,null,null,null,null,null,null,null,null,null,null,null,null,389,null,null,null,null,null,765,null,775,"206071144",null,null,1815,35,null,665,null,null,null,435,null,2019,null,59,null,null,null,null,null
null,null,null,188,null,"Balwyn",null,null,null,null,null,null,null,null,null,null,null,null,48,null,null,null,null,20,null,null,null,null,294,null,null,null,null,null,null,null,null,null,null,null,null,154,null,null,null,null,null,127,null,363,"207011147",null,null,1117,null,null,417,null,null,null,227,null,2019,null,12,null,null,null,null,null
null,null,null,197,null,"Ashburton (Vic.)",null,null,null,null,null,null,null,null,null,null,null,null,42,null,null,null,null,19,null,null,null,null,129,null,null,null,null,null,null,null,null,null,null,null,null,64,null,null,null,null,null,94,null,127,"207011146",null,null,513,8,null,173,null,null,null,141,null,2019,null,8,null,null,null,null,null
null,null,null,181,null,"Balwyn North",null,null,null,null,null,null,null,null,null,null,null,null,80,null,null,null,null,19,null,null,null,null,363,null,null,null,null,null,null,null,null,null,null,null,null,199,null,null,null,null,null,169,null,331,"207011148",null,null,1117,5,null,543,null,null,null,313,null,2019,null,10,null,null,null,null,null
null,null,null,218,null,"Camberwell",null,null,null,null,null,null,null,null,null,null,null,null,39,null,null,null,null,23,null,null,null,null,288,null,null,null,null,null,null,null,null,null,null,null,null,223,null,null,null,null,null,119,null,449,"207011149",null,null,1323,8,null,378,null,null,null,248,null,2019,null,null,null,null,null,null,null
null,null,null,205,null,"Hawthorn East",null,null,null,null,null,null,null,null,null,null,null,null,27,null,null,null,null,31,null,null,null,null,198,null,null,null,null,null,null,null,null,null,null,null,null,208,null,null,null,null,null,113,null,447,"207011152",null,null,687,6,null,227,null,null,null,121,null,2019,null,null,null,null,null,null,null
null,null,null,116,null,"Glen Iris - East",null,null,null,null,null,null,null,null,null,null,null,null,25,null,null,null,null,13,null,null,null,null,184,null,null,null,null,null,null,null,null,null,null,null,null,144,null,null,null,null,null,66,null,193,"207011150",null,null,743,5,null,238,null,null,null,203,null,2019,null,null,null,null,null,null,null
null,null,null,282,null,"Hawthorn",null,null,null,null,null,null,null,null,null,null,null,null,29,null,null,null,null,22,null,null,null,null,201,null,null,null,null,null,null,null,null,null,null,null,null,486,null,null,null,null,null,188,null,801,"207011151",null,null,741,12,null,249,null,null,null,157,null,2019,null,8,null,null,null,null,null
null,null,null,325,null,"Caroline Springs",null,null,null,null,null,null,null,null,null,null,null,null,251,null,null,null,null,151,null,null,null,null,1101,null,null,null,null,null,null,null,null,null,null,null,null,226,null,null,null,null,null,465,null,719,"213041463",null,null,967,42,null,1429,null,null,null,599,null,2019,null,72,null,null,null,null,null
null,null,null,64,null,"Kew East",null,null,null,null,null,null,null,null,null,null,null,null,21,null,null,null,null,15,null,null,null,null,99,null,null,null,null,null,null,null,null,null,null,null,null,60,null,null,null,null,null,54,null,142,"207011154",null,null,439,null,null,124,null,null,null,102,null,2019,null,null,null,null,null,null,null
null,null,null,215,null,"Templestowe Lower",null,null,null,null,null,null,null,null,null,null,null,null,103,null,null,null,null,31,null,null,null,null,355,null,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,null,183,null,323,"207021160",null,null,1731,null,null,469,null,null,null,405,null,2019,null,14,null,null,null,null,null
null,null,null,207,null,"Doncaster East (South)",null,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,49,null,null,null,null,564,null,null,null,null,null,null,null,null,null,null,null,null,122,null,null,null,null,null,192,null,534,"207021425",null,null,1807,9,null,777,null,null,null,312,null,2019,null,34,null,null,null,null,null
null,null,null,129,null,"Surrey Hills (West) - Canterbury",null,null,null,null,null,null,null,null,null,null,null,null,16,null,null,null,null,18,null,null,null,null,165,null,null,null,null,null,null,null,null,null,null,null,null,133,null,null,null,null,null,93,null,275,"207011155",null,null,889,10,null,233,null,null,null,151,null,2019,null,null,null,null,null,null,null
null,null,null,375,null,"Blackburn",null,null,null,null,null,null,null,null,null,null,null,null,90,null,null,null,null,49,null,null,null,null,480,null,null,null,null,null,null,null,null,null,null,null,null,210,null,null,null,null,null,250,null,584,"207031161",null,null,1875,15,null,647,null,null,null,392,null,2019,null,23,null,null,null,null,null
null,null,null,193,null,"Doncaster East (North)",null,null,null,null,null,null,null,null,null,null,null,null,86,null,null,null,null,37,null,null,null,null,405,null,null,null,null,null,null,null,null,null,null,null,null,163,null,null,null,null,null,147,null,285,"207021424",null,null,1462,12,null,600,null,null,null,310,null,2019,null,12,null,null,null,null,null
null,null,null,238,null,"Burwood East",null,null,null,null,null,null,null,null,null,null,null,null,66,null,null,null,null,24,null,null,null,null,268,null,null,null,null,null,null,null,null,null,null,null,null,119,null,null,null,null,null,144,null,311,"207031166",null,null,1378,5,null,399,null,null,null,249,null,2019,null,24,null,null,null,null,null
null,null,null,423,null,"Box Hill",null,null,null,null,null,null,null,null,null,null,null,null,80,null,null,null,null,62,null,null,null,null,553,null,null,null,null,null,null,null,null,null,null,null,null,241,null,null,null,null,null,317,null,839,"207031163",null,null,1520,22,null,702,null,null,null,290,null,2019,null,37,null,null,null,null,null
null,null,null,328,null,"Box Hill North",null,null,null,null,null,null,null,null,null,null,null,null,92,null,null,null,null,48,null,null,null,null,494,null,null,null,null,null,null,null,null,null,null,null,null,161,null,null,null,null,null,184,null,548,"207031164",null,null,1559,16,null,622,null,null,null,309,null,2019,null,16,null,null,null,null,null
null,null,null,232,null,"Burwood",null,null,null,null,null,null,null,null,null,null,null,null,69,null,null,null,null,41,null,null,null,null,271,null,null,null,null,null,null,null,null,null,null,null,null,391,null,null,null,null,null,196,null,526,"207031165",null,null,1092,28,null,358,null,null,null,183,null,2019,null,12,null,null,null,null,null
null,null,null,183,null,"Murrumbeena",null,null,null,null,null,null,null,null,null,null,null,null,41,null,null,null,null,16,null,null,null,null,166,null,null,null,null,null,null,null,null,null,null,null,null,87,null,null,null,null,null,107,null,289,"208021181",null,null,673,9,null,221,null,null,null,164,null,2019,null,10,null,null,null,null,null
null,null,null,119,null,"Beaumaris",null,null,null,null,null,null,null,null,null,null,null,null,29,null,null,null,null,11,null,null,null,null,157,null,null,null,null,null,null,null,null,null,null,null,null,70,null,null,null,null,null,69,null,168,"208011168",null,null,1019,null,null,212,null,null,null,168,null,2019,null,6,null,null,null,null,null
null,null,null,168,null,"Brighton East",null,null,null,null,null,null,null,null,null,null,null,null,43,null,null,null,null,24,null,null,null,null,218,null,null,null,null,null,null,null,null,null,null,null,null,93,null,null,null,null,null,125,null,334,"208011170",null,null,1088,null,null,305,null,null,null,223,null,2019,null,6,null,null,null,null,null
null,null,null,249,null,"Bentleigh East (North)",null,null,null,null,null,null,null,null,null,null,null,null,92,null,null,null,null,46,null,null,null,null,415,null,null,null,null,null,null,null,null,null,null,null,null,129,null,null,null,null,null,156,null,401,"208021426",null,null,1365,12,null,569,null,null,null,374,null,2019,null,18,null,null,null,null,null
null,null,null,190,null,"Airport West",null,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,36,null,null,null,null,283,null,null,null,null,null,null,null,null,null,null,null,null,46,null,null,null,null,null,176,null,329,"210011226",null,null,1186,16,null,356,null,null,null,315,null,2019,null,7,null,null,null,null,null
null,null,null,186,null,"Brighton (Vic.)",null,null,null,null,null,null,null,null,null,null,null,null,39,null,null,null,null,31,null,null,null,null,231,null,null,null,null,null,null,null,null,null,null,null,null,117,null,null,null,null,null,130,null,311,"208011169",null,null,1168,8,null,277,null,null,null,206,null,2019,null,8,null,null,null,null,null
null,null,null,241,null,"Bentleigh East (South)",null,null,null,null,null,null,null,null,null,null,null,null,78,null,null,null,null,39,null,null,null,null,376,null,null,null,null,null,null,null,null,null,null,null,null,90,null,null,null,null,null,169,null,401,"208021427",null,null,1478,16,null,480,null,null,null,309,null,2019,null,16,null,null,null,null,null
null,null,null,329,null,"Caulfield - South",null,null,null,null,null,null,null,null,null,null,null,null,73,null,null,null,null,33,null,null,null,null,288,null,null,null,null,null,null,null,null,null,null,null,null,156,null,null,null,null,null,219,null,565,"208021178",null,null,1375,12,null,373,null,null,null,305,null,2019,null,7,null,null,null,null,null
null,null,null,531,null,"Hampton",null,null,null,null,null,null,null,null,null,null,null,null,94,null,null,null,null,57,null,null,null,null,347,null,null,null,null,null,null,null,null,null,null,null,null,84,null,null,null,null,null,218,null,337,"208011172",null,null,1323,23,null,418,null,null,null,322,null,2019,null,12,null,null,null,null,null
null,null,null,219,null,"Sandringham - Black Rock",null,null,null,null,null,null,null,null,null,null,null,null,30,null,null,null,null,38,null,null,null,null,219,null,null,null,null,null,null,null,null,null,null,null,null,93,null,null,null,null,null,133,null,292,"208011173",null,null,1342,null,null,252,null,null,null,159,null,2019,null,null,null,null,null,null,null
null,null,null,407,null,"Bentleigh - McKinnon",null,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,49,null,null,null,null,504,null,null,null,null,null,null,null,null,null,null,null,null,199,null,null,null,null,null,230,null,666,"208021174",null,null,1939,24,null,680,null,null,null,416,null,2019,null,18,null,null,null,null,null
null,null,null,412,null,"Carnegie",null,null,null,null,null,null,null,null,null,null,null,null,62,null,null,null,null,42,null,null,null,null,372,null,null,null,null,null,null,null,null,null,null,null,null,165,null,null,null,null,null,245,null,745,"208021176",null,null,1535,13,null,460,null,null,null,287,null,2019,null,14,null,null,null,null,null
null,null,null,307,null,"Caulfield - North",null,null,null,null,null,null,null,null,null,null,null,null,57,null,null,null,null,39,null,null,null,null,449,null,null,null,null,null,null,null,null,null,null,null,null,213,null,null,null,null,null,215,null,682,"208021177",null,null,1059,5,null,592,null,null,null,265,null,2019,null,45,null,null,null,null,null
null,null,null,263,null,"Ormond - Glen Huntly",null,null,null,null,null,null,null,null,null,null,null,null,75,null,null,null,null,22,null,null,null,null,293,null,null,null,null,null,null,null,null,null,null,null,null,115,null,null,null,null,null,197,null,545,"208021182",null,null,887,14,null,380,null,null,null,229,null,2019,null,10,null,null,null,null,null
null,null,null,null,null,"Braeside",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,"208031184",null,null,10,null,null,null,null,null,null,null,null,2019,null,null,null,null,null,null,null
null,null,null,269,null,"Carrum - Patterson Lakes",null,null,null,null,null,null,null,null,null,null,null,null,73,null,null,null,null,70,null,null,null,null,393,null,null,null,null,null,null,null,null,null,null,null,null,60,null,null,null,null,null,256,null,427,"208031185",null,null,1330,17,null,490,null,null,null,237,null,2019,null,null,null,null,null,null,null
null,null,null,465,null,"Chelsea - Bonbeach",null,null,null,null,null,null,null,null,null,null,null,null,122,null,null,null,null,90,null,null,null,null,483,null,null,null,null,null,null,null,null,null,null,null,null,72,null,null,null,null,null,312,null,812,"208031186",null,null,1813,25,null,612,null,null,null,315,null,2019,null,14,null,null,null,null,null
null,null,null,556,null,"Cheltenham - Highett (East)",null,null,null,null,null,null,null,null,null,null,null,null,149,null,null,null,null,102,null,null,null,null,707,null,null,null,null,null,null,null,null,null,null,null,null,142,null,null,null,null,null,369,null,836,"208031188",null,null,2745,22,null,898,null,null,null,469,null,2019,null,22,null,null,null,null,null
null,null,null,326,null,"Preston - West",null,null,null,null,null,null,null,null,null,null,null,null,111,null,null,null,null,36,null,null,null,null,396,null,null,null,null,null,null,null,null,null,null,null,null,130,null,null,null,null,null,320,null,552,"209021429",null,null,1141,10,null,506,null,null,null,346,null,2019,null,27,null,null,null,null,null
null,null,null,234,null,"Edithvale - Aspendale",null,null,null,null,null,null,null,null,null,null,null,null,51,null,null,null,null,54,null,null,null,null,363,null,null,null,null,null,null,null,null,null,null,null,null,80,null,null,null,null,null,184,null,366,"208031189",null,null,1184,16,null,466,null,null,null,236,null,2019,null,11,null,null,null,null,null
null,null,null,308,null,"Eltham",null,null,null,null,null,null,null,null,null,null,null,null,82,null,null,null,null,58,null,null,null,null,494,null,null,null,null,null,null,null,null,null,null,null,null,138,null,null,null,null,null,234,null,401,"209031209",null,null,1572,17,null,652,null,null,null,398,null,2019,null,15,null,null,null,null,null
null,null,null,311,null,"Mentone",null,null,null,null,null,null,null,null,null,null,null,null,57,null,null,null,null,41,null,null,null,null,331,null,null,null,null,null,null,null,null,null,null,null,null,83,null,null,null,null,null,197,null,594,"208031190",null,null,1347,20,null,413,null,null,null,231,null,2019,null,8,null,null,null,null,null
null,null,null,258,null,"Moorabbin - Heatherton",null,null,null,null,null,null,null,null,null,null,null,null,49,null,null,null,null,28,null,null,null,null,259,null,null,null,null,null,null,null,null,null,null,null,null,69,null,null,null,null,null,149,null,345,"208031191",null,null,815,15,null,355,null,null,null,196,null,2019,null,14,null,null,null,null,null
null,null,null,261,null,"Bundoora - East",null,null,null,null,null,null,null,null,null,null,null,null,94,null,null,null,null,46,null,null,null,null,367,null,null,null,null,null,null,null,null,null,null,null,null,117,null,null,null,null,null,188,null,385,"209011196",null,null,1320,14,null,481,null,null,null,327,null,2019,null,27,null,null,null,null,null
null,null,null,434,null,"Mordialloc - Parkdale",null,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,60,null,null,null,null,499,null,null,null,null,null,null,null,null,null,null,null,null,114,null,null,null,null,null,277,null,592,"208031193",null,null,1874,22,null,631,null,null,null,357,null,2019,null,18,null,null,null,null,null
null,null,null,408,null,"Greensborough",null,null,null,null,null,null,null,null,null,null,null,null,118,null,null,null,null,88,null,null,null,null,638,null,null,null,null,null,null,null,null,null,null,null,null,156,null,null,null,null,null,318,null,596,"209011197",null,null,2086,31,null,803,null,null,null,503,null,2019,null,12,null,null,null,null,null
null,null,null,47,null,"Hurstbridge",null,null,null,null,null,null,null,null,null,null,null,null,15,null,null,null,null,17,null,null,null,null,123,null,null,null,null,null,null,null,null,null,null,null,null,22,null,null,null,null,null,48,null,46,"209031210",null,null,298,8,null,162,null,null,null,77,null,2019,null,null,null,null,null,null,null
null,null,null,229,null,"Ivanhoe",null,null,null,null,null,null,null,null,null,null,null,null,73,null,null,null,null,21,null,null,null,null,206,null,null,null,null,null,null,null,null,null,null,null,null,101,null,null,null,null,null,141,null,317,"209011200",null,null,853,null,null,269,null,null,null,203,null,2019,null,null,null,null,null,null,null
null,null,null,311,null,"Montmorency - Briar Hill",null,null,null,null,null,null,null,null,null,null,null,null,77,null,null,null,null,80,null,null,null,null,454,null,null,null,null,null,null,null,null,null,null,null,null,94,null,null,null,null,null,261,null,514,"209011202",null,null,1614,16,null,554,null,null,null,304,null,2019,null,10,null,null,null,null,null
null,null,null,370,null,"Viewbank - Yallambie",null,null,null,null,null,null,null,null,null,null,null,null,118,null,null,null,null,58,null,null,null,null,526,null,null,null,null,null,null,null,null,null,null,null,null,138,null,null,null,null,null,248,null,496,"209011203",null,null,2042,18,null,689,null,null,null,448,null,2019,null,15,null,null,null,null,null
null,null,null,131,null,"Kinglake",null,null,null,null,null,null,null,null,null,null,null,null,48,null,null,null,null,22,null,null,null,null,172,null,null,null,null,null,null,null,null,null,null,null,null,22,null,null,null,null,null,77,null,73,"209031211",null,null,289,5,null,241,null,null,null,101,null,2019,null,12,null,null,null,null,null
null,null,null,58,null,"Panton Hill - St Andrews",null,null,null,null,null,null,null,null,null,null,null,null,16,null,null,null,null,29,null,null,null,null,141,null,null,null,null,null,null,null,null,null,null,null,null,26,null,null,null,null,null,89,null,83,"209031212",null,null,358,7,null,208,null,null,null,75,null,2019,null,7,null,null,null,null,null
null,null,null,129,null,"Plenty - Yarrambat",null,null,null,null,null,null,null,null,null,null,null,null,45,null,null,null,null,22,null,null,null,null,182,null,null,null,null,null,null,null,null,null,null,null,null,49,null,null,null,null,null,98,null,143,"209031213",null,null,679,null,null,258,null,null,null,173,null,2019,null,5,null,null,null,null,null
null,null,null,196,null,"Malvern - Glen Iris",null,null,null,null,null,null,null,null,null,null,null,null,37,null,null,null,null,36,null,null,null,null,257,null,null,null,null,null,null,null,null,null,null,null,null,167,null,null,null,null,null,157,null,497,"208041194",null,null,1153,6,null,306,null,null,null,197,null,2019,null,9,null,null,null,null,null
null,null,null,65,null,"Research - North Warrandyte",null,null,null,null,null,null,null,null,null,null,null,null,24,null,null,null,null,10,null,null,null,null,126,null,null,null,null,null,null,null,null,null,null,null,null,49,null,null,null,null,null,53,null,77,"209031214",null,null,335,null,null,174,null,null,null,99,null,2019,null,null,null,null,null,null,null
null,null,null,561,null,"Keilor East",null,null,null,null,null,null,null,null,null,null,null,null,371,null,null,null,null,108,null,null,null,null,741,null,null,null,null,null,null,null,null,null,null,null,null,208,null,null,null,null,null,481,null,773,"210011229",null,null,4384,31,null,1001,null,null,null,1123,null,2019,null,31,null,null,null,null,null
null,null,null,122,null,"Niddrie - Essendon West",null,null,null,null,null,null,null,null,null,null,null,null,52,null,null,null,null,42,null,null,null,null,191,null,null,null,null,null,null,null,null,null,null,null,null,59,null,null,null,null,null,102,null,210,"210011230",null,null,722,6,null,243,null,null,null,179,null,2019,null,6,null,null,null,null,null
null,null,null,166,null,"Gisborne",null,null,null,null,null,null,null,null,null,null,null,null,85,null,null,null,null,58,null,null,null,null,348,null,null,null,null,null,null,null,null,null,null,null,null,71,null,null,null,null,null,116,null,269,"210021232",null,null,1138,13,null,471,null,null,null,276,null,2019,null,13,null,null,null,null,null
null,null,null,56,null,"Riddells Creek",null,null,null,null,null,null,null,null,null,null,null,null,13,null,null,null,null,25,null,null,null,null,131,null,null,null,null,null,null,null,null,null,null,null,null,15,null,null,null,null,null,45,null,71,"210021234",null,null,356,null,null,171,null,null,null,86,null,2019,null,null,null,null,null,null,null
null,null,null,287,null,"Malvern East",null,null,null,null,null,null,null,null,null,null,null,null,63,null,null,null,null,43,null,null,null,null,263,null,null,null,null,null,null,null,null,null,null,null,null,187,null,null,null,null,null,191,null,533,"208041195",null,null,1273,18,null,336,null,null,null,291,null,2019,null,null,null,null,null,null,null
null,null,null,212,null,"Romsey",null,null,null,null,null,null,null,null,null,null,null,null,78,null,null,null,null,67,null,null,null,null,370,null,null,null,null,null,null,null,null,null,null,null,null,47,null,null,null,null,null,167,null,288,"210021235",null,null,908,22,null,502,null,null,null,264,null,2019,null,11,null,null,null,null,null
null,null,null,165,null,"Kingsbury",null,null,null,null,null,null,null,null,null,null,null,null,56,null,null,null,null,36,null,null,null,null,248,null,null,null,null,null,null,null,null,null,null,null,null,458,null,null,null,null,null,166,null,606,"209021205",null,null,770,13,null,335,null,null,null,205,null,2019,null,14,null,null,null,null,null
null,null,null,1262,null,"Reservoir - East",null,null,null,null,null,null,null,null,null,null,null,null,434,null,null,null,null,192,null,null,null,null,1289,null,null,null,null,null,null,null,null,null,null,null,null,334,null,null,null,null,null,963,null,1738,"209021207",null,null,3362,70,null,1602,null,null,null,998,null,2019,null,82,null,null,null,null,null
null,null,null,1000,null,"Reservoir - West",null,null,null,null,null,null,null,null,null,null,null,null,372,null,null,null,null,174,null,null,null,null,1054,null,null,null,null,null,null,null,null,null,null,null,null,269,null,null,null,null,null,697,null,1432,"209021208",null,null,3269,49,null,1309,null,null,null,963,null,2019,null,80,null,null,null,null,null
null,null,null,328,null,"Heidelberg - Rosanna",null,null,null,null,null,null,null,null,null,null,null,null,65,null,null,null,null,60,null,null,null,null,361,null,null,null,null,null,null,null,null,null,null,null,null,151,null,null,null,null,null,221,null,581,"209011198",null,null,1399,19,null,441,null,null,null,281,null,2019,null,8,null,null,null,null,null
null,null,null,967,null,"Heidelberg West",null,null,null,null,null,null,null,null,null,null,null,null,253,null,null,null,null,156,null,null,null,null,871,null,null,null,null,null,null,null,null,null,null,null,null,276,null,null,null,null,null,637,null,843,"209011199",null,null,1296,51,null,998,null,null,null,484,null,2019,null,84,null,null,null,null,null
null,null,null,60,null,"Ivanhoe East - Eaglemont",null,null,null,null,null,null,null,null,null,null,null,null,16,null,null,null,null,12,null,null,null,null,84,null,null,null,null,null,null,null,null,null,null,null,null,47,null,null,null,null,null,52,null,146,"209011201",null,null,399,null,null,116,null,null,null,100,null,2019,null,8,null,null,null,null,null
