exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_2_p, households_by_type_census_lone_person_households_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_4_a, dwelling_structure_private_dwellings_census_separate_house_num, families_type_census_couple_families_non_dependent_children_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_nvr_mrrd_pc, method_travel_work_employed_persons_census_used_one_total_num, tenure_type_occupied_private_dwellings_census_owned_mortgage_pc, sa2_name_2016, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_3_p, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_nm, dwlng_strce_prvte_dwlngs_cns_smi_dtch_rw_trce_hse_twnhse_etc_nm, method_travel_work_employed_persons_census_worked_home_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_to_at_indqtly_dscrb_std_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_crd_chldchldrn_pc, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_edctn_ocptn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_mrrge_nm, rent_mortgage_payments_census_average_monthly_household_payment, method_travel_work_employed_persons_census_used_one_truck_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_dsvntg, method_travel_work_employed_persons_census_used_one_train_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_1_d, dwelling_structure_private_dwellings_census_stated_num, gftsdntns_rprtd_txpyrs_yr_endd_30_jne_prsns_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_pssngr_nm, households_by_type_census_total_households_num, method_travel_work_employed_persons_census_total_used_one, families_by_type_census_couple_families_without_children_num, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsn_cns_ple_trvld_to_cr_drv_psngr_nm, scl_mrtl_st_rgstd_prsn_agd_15_yrs_cns_mrd_de_fcto_mrge_nm, method_travel_work_employed_persons_census_used_one_taxi_num, dwelling_structure_private_dwellings_census_flat_apartment_num, method_travel_work_employed_persons_census_used_one_bicycle_num, commuting_work_census_average_distance_to_place_kms, fmls_type_cnss_one_prnt_chldrn_15_andr_dpndnt_stdnts_nm, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_scre_nt_a, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsns_cnss_pple_trvlld_to_pblc_trnsprt_nm, method_travel_work_employed_persons_census_used_one_tram_num, homelessness_census_homeless_rate_per_10000_persons_rate, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_sttd_pc, giftsdonations_reported_by_taxpayers_year_ended_30_june_median, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_dsvn, accss_intrnt_hme_occpd_prvte_dwllngs_cnss_accssd_dwllng_pc, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_prvde_pc, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_wdwd_pc, tenure_type_occupied_private_dwellings_census_owned_outright_pc, method_travel_work_employed_persons_census_used_one_ferry_num, households_by_type_census_average_household_size_no_of_persons, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_kms, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_pc, method_travel_work_employed_persons_census_used_one_bus_num, tenure_type_occupied_private_dwellings_census_stated_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, families_by_type_census_average_family_size_no_of_persons, unpd_wrk_prsns_agd_15_yrs_cnss_undrtkng_vlntry_orgnstn_grp_pc, commuting_work_census_median_distance_place_usual_residence_kms, fmls_type_cnss_cple_chldrn_15_andr_dpndnt_stdnts_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_mtr_bksctr_nm, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm, method_travel_work_employed_persons_census_go_to_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_sprtd_pc, tenure_type_occupied_private_dwellings_census_tenure_type_pc, dwelling_structure_private_dwellings_census_other_dwelling_num, unpd_wrk_prsns_agd_15_yrs_cnss_prvdd_assstnce_prsn_a_dsblty_pc, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rsc_ir, method_travel_work_employed_persons_census_used_one_walked_num, method_travel_work_employed_persons_census_used_one_method_num, families_by_type_census_total_families_num, tenure_type_occupied_private_dwellings_census_rented_pc, households_by_type_census_group_households_num, rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, families_type_census_one_parent_non_dependent_children_num, count_children_family_census_average_number_of_all_in_num, method_travel_work_employed_persons_census_of_stated_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_advntg, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_and_pc, households_by_type_census_family_households_num, sa2_maincode_2016, dwelling_structure_private_dwellings_census_total_num, method_travel_work_employed_persons_census_total_employed_num, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_advn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_dvrcd_pc, families_by_type_census_other_families_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_acsd_dwlng_pc, commuting_work_census_median_distance_to_place_kms, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, sco_ecnmc_indxs_ars_sfa_stte_dcls_cnss_dcle_rnkng_indx_rsrcs_ir, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_pc, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_drvr_nm, yr, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_edctn_ocpt
null,null,null,null,null,null,null,null,"Coburg",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6134,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206011108",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Alphington - Fairfield",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206021110",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Prahran - Windsor",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4873,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,134,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206061136",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Northcote",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6456,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,190,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206021111",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Flemington",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1906,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,175,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206031115",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Thornbury",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4557,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206021112",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Carlton",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2093,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,170,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206041117",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Ascot Vale",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3736,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206031113",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Essendon - Aberfeldie",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7225,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206031114",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Docklands",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2467,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206041118",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Moonee Ponds",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3735,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206031116",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Kensington (Vic.)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2757,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,180,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206041121",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Parkville",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206041124",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"North Melbourne",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3631,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,152,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206041123",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Southbank",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3627,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206041126",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Albert Park",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3799,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206051128",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"South Melbourne",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2822,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206051132",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Cranbourne East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7566,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212031301",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Port Melbourne Industrial",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,71,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206051131",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"St Kilda East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4029,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,156,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206051134",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"St Kilda",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6043,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206051133",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"South Yarra - East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4909,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206061137",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Toorak",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3531,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,405,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206061138",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Carlton North - Princes Hill",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2094,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206071140",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Abbotsford",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2188,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206071139",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Fitzroy North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3170,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,225,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206071143",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Richmond (Vic.)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7967,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206071144",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Balwyn",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3449,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,210,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207011147",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Ashburton (Vic.)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1820,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,210,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207011146",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Balwyn North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4213,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207011148",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Camberwell",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5087,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207011149",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Blackburn South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,130,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207031162",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Hawthorn East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3540,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207011152",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Kew",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5773,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207011153",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Bulleen",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207021156",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Glen Iris - East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4061,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207011150",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Hawthorn",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5527,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207011151",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Doncaster",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3758,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207021157",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Templestowe",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3215,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207021159",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Kew East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1465,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,180,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207011154",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Surrey Hills (West) - Canterbury",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4003,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207011155",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Templestowe Lower",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2489,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207021160",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Doncaster East (South)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2276,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207021425",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Blackburn",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4805,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,165,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207031161",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Doncaster East (North)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2817,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207021424",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Burwood",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1899,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207031165",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Box Hill",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3185,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207031163",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Box Hill North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3289,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207031164",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Brighton East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3359,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208011170",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Elsternwick",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2884,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,210,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208021179",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Beaumaris",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3068,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208011168",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Brighton (Vic.)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5406,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208011169",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Sandringham - Black Rock",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3816,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208011173",null,null,null,null,null,null,null,null,null,null,null,2018,null
