slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_pc, private_health_taxpayers_report_private_health_insurance_num, slctd_dsblty_crrs_chrctrstcs_mdlld_prsns_lvng_prvte_dwllngs_nm, sa2_maincode_2016, slctd_dsblty_crrs_chrctrstcs_mdlld_prsns_lvng_prvte_dwllngs_pc, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_agd_15_prmy_p, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_n_prmy_nm, sa2_name_2016, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_agd_15_prmy_n, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_mdrte_mld_cre, yr, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_prfnd_svre_cr, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_prfnd_svre__0, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_nm, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_n_prmy_pc, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_mdrte_mld_c_0, core_activity_need_assistance_census_persons_for_activities_pc
16.0,3715,1760,"211051282",17.3,4.8,1090,"Mount Dandenong - Olinda",394,950,2018,440,4.3,1624,10.7,9.3,null
11.2,2760,1754,"211051283",17.1,4.8,658,"Mount Evelyn",393,767,2018,643,6.3,1150,6.4,7.5,null
12.7,3458,1534,"211051284",15.2,4.6,817,"Upwey - Tecoma",376,791,2018,380,3.8,1277,8.1,7.8,null
11.6,2635,1653,"211051285",20.4,4.5,671,"Wandin - Seville",287,797,2018,320,4.0,938,8.3,9.9,null
16.8,3312,4346,"211051286",26.0,6.0,1616,"Yarra Valley",813,1851,2018,1295,7.7,2807,9.7,11.1,null
15.3,5647,2617,"212011287",14.8,4.4,1630,"Beaconsfield - Officer",599,1096,2018,903,5.1,2705,9.2,6.2,null
10.5,3984,3423,"212011291",15.8,4.4,1447,"Pakenham - North",707,1510,2018,1114,5.2,2274,6.7,7.0,null
10.0,6082,5403,"212011292",16.9,4.4,2160,"Pakenham - South",1047,2441,2018,1591,5.0,3217,6.7,7.6,null
11.3,8914,3995,"212021293",16.8,4.0,2272,"Berwick - North",776,2437,2018,948,4.0,2687,9.6,10.2,null
10.3,8030,3049,"212021294",10.7,4.0,1968,"Berwick - South",835,1489,2018,1160,4.1,2948,6.9,5.2,null
9.0,862,2566,"212021295",21.2,5.1,685,"Doveton",498,1224,2018,699,5.8,1094,5.6,10.1,null
10.5,2941,1609,"212021453",13.0,4.6,948,"Endeavour Hills - North",467,788,2018,632,5.1,1300,7.6,6.3,null
11.2,3362,2021,"212021455",14.2,4.2,1264,"Narre Warren - North East",480,1021,2018,615,4.3,1595,8.9,7.2,null
10.0,2663,2342,"212021456",15.8,4.6,916,"Narre Warren - South West",538,1073,2018,749,5.1,1486,6.2,7.2,null
12.5,3139,4505,"212031300",21.1,5.1,1563,"Cranbourne",858,1917,2018,1271,6.0,2669,7.3,9.0,null
7.8,7544,4966,"212031301",12.0,3.4,2377,"Cranbourne East",1018,2312,2018,1616,3.9,3233,5.7,5.6,null
8.9,4188,2960,"212031302",12.3,4.1,1351,"Cranbourne North",725,1389,2018,1082,4.5,2139,5.6,5.8,null
14.4,4046,1974,"212031457",14.2,4.4,1177,"Narre Warren South (East)",469,852,2018,553,4.0,2009,8.5,6.1,null
11.7,3192,2332,"212031458",13.1,4.4,1167,"Narre Warren South (West)",594,989,2018,868,4.9,2078,6.5,5.5,null
8.3,2899,5831,"212041311",17.5,4.5,1938,"Dandenong",1213,2447,2018,2083,6.3,2765,5.8,7.3,null
10.2,4011,3736,"212041312",15.7,4.8,1722,"Dandenong North",938,2031,2018,1213,5.1,2426,7.3,8.6,null
16.9,3348,2453,"212041309",20.2,4.9,1424,"Clarinda - Oakleigh South",509,1079,2018,840,6.9,2059,11.7,8.9,null
8.6,2609,2031,"212041310",14.7,4.2,687,"Clayton South",484,895,2018,829,6.0,1196,5.0,6.5,null
11.8,4296,1667,"212041313",15.6,4.3,918,"Dingley Village",374,915,2018,554,5.2,1254,8.6,8.6,null
10.2,6892,3681,"212041314",12.4,4.3,1884,"Keysborough",1034,2140,2018,1233,4.1,3029,6.3,7.2,null
12.0,1422,1292,"212041316",16.3,5.7,455,"Noble Park North",376,686,2018,475,6.0,956,5.7,8.6,null
10.2,3076,3575,"212041317",15.2,4.6,1641,"Springvale",908,1657,2018,1555,6.6,2410,7.0,7.0,null
9.8,1781,1852,"212041318",13.9,4.8,941,"Springvale South",525,1007,2018,729,5.5,1313,7.1,7.5,null
9.4,1131,1537,"213011328",18.3,4.2,503,"Ardeer - Albion",291,624,2018,528,6.3,788,6.0,7.4,null
9.1,1748,1883,"212041459",14.2,4.3,865,"Noble Park - East",472,815,2018,655,4.9,1213,6.5,6.1,null
9.9,2374,2892,"212041460",14.7,4.8,1424,"Noble Park - West",768,1504,2018,1005,5.1,1951,7.2,7.6,null
9.9,6927,2444,"212051319",12.2,4.0,1370,"Ashwood - Chadstone",668,1213,2018,822,4.1,1980,6.8,6.1,null
11.2,1182,1421,"213011331",16.2,4.9,695,"Delahey",356,709,2018,451,5.1,982,7.9,8.1,null
10.5,1953,4780,"213011334",22.0,5.1,1591,"St Albans - North",905,2188,2018,1478,6.8,2291,7.3,10.1,null
3.8,3719,1689,"212051320",6.4,2.1,912,"Clayton",515,940,2018,804,3.1,988,3.5,3.6,null
13.4,8978,4420,"212051321",19.8,4.1,2016,"Glen Waverley - East",753,1915,2018,1219,5.4,2995,9.0,8.6,null
15.0,7564,2885,"212051322",14.1,4.4,2022,"Glen Waverley - West",746,1548,2018,923,4.5,3068,9.9,7.5,null
8.7,6789,2232,"212051323",13.6,3.7,1230,"Mount Waverley - North",498,1244,2018,799,4.9,1426,7.5,7.6,null
9.3,2484,1727,"213011339",13.8,4.3,919,"Sydenham",430,806,2018,527,4.2,1165,7.4,6.5,null
6.7,8132,2363,"212051324",11.9,3.7,1074,"Mount Waverley - South",598,1394,2018,771,3.9,1342,5.4,7.0,null
10.0,6485,3869,"212051325",18.7,4.1,1547,"Mulgrave",695,1711,2018,1008,4.9,2064,7.5,8.3,null
20.1,6337,4236,"213011340",22.9,4.7,2584,"Taylors Lakes",741,1812,2018,1242,6.7,3715,14.0,9.8,null
11.3,4696,2768,"213021341",20.1,4.5,1037,"Altona",518,1163,2018,949,6.9,1557,7.5,8.4,null
7.7,7499,3198,"212051326",13.7,3.9,1140,"Oakleigh - Huntingdale",772,1564,2018,1091,4.7,1802,4.9,6.7,null
7.3,9002,2477,"212051327",12.0,4.1,1009,"Wheelers Hill",708,1604,2018,911,4.4,1507,4.9,7.7,null
9.1,4730,3101,"213021342",15.3,4.9,1084,"Altona Meadows",814,1538,2018,1162,5.7,1841,5.4,7.6,null
19.9,1872,1686,"213011329",15.9,4.5,1329,"Cairnlea",371,585,2018,471,4.4,2106,12.5,5.5,null
10.0,4133,3655,"213011330",12.7,4.5,1830,"Deer Park - Derrimut",982,1882,2018,1357,4.7,2888,6.3,6.5,null
14.3,3198,2447,"213011332",17.7,5.2,1239,"Keilor Downs",598,1209,2018,1145,8.3,1979,8.9,8.7,null
20.4,1394,2970,"213011333",20.2,6.4,1770,"Kings Park (Vic.)",766,1406,2018,1210,8.2,3001,12.0,9.6,null
12.5,1670,3052,"213011335",16.6,5.1,1783,"St Albans - South",780,1570,2018,1205,6.6,2296,9.7,8.5,null
9.6,1717,1655,"213011336",15.9,4.4,613,"Sunshine",375,682,2018,642,6.2,1005,5.9,6.5,null
9.8,1692,1796,"213011337",14.5,4.7,850,"Sunshine North",475,1010,2018,646,5.2,1210,6.9,8.2,null
12.3,2643,3945,"213011338",19.6,5.2,1424,"Sunshine West",860,2216,2018,1191,5.9,2472,7.1,11.0,null
10.5,3510,2515,"213021343",16.8,4.5,1118,"Altona North",548,1194,2018,893,6.0,1562,7.5,8.0,null
10.1,7407,2286,"213021344",11.9,3.7,1383,"Newport",564,1249,2018,737,3.8,1933,7.2,6.5,null
7.3,4251,2880,"213031348",15.8,3.3,846,"Footscray",540,1174,2018,843,4.6,1329,4.6,6.4,null
12.9,1384,919,"213021345",16.6,4.5,579,"Seabrook",193,409,2018,301,5.4,713,10.4,7.4,null
14.2,7347,2610,"213021346",15.4,3.8,1857,"Williamstown",525,1163,2018,969,5.7,2405,11.0,6.9,null
8.3,3503,1339,"213031350",13.4,3.5,653,"Seddon - Kingsville",285,592,2018,373,3.7,827,6.5,5.9,null
7.1,3630,2719,"213031347",13.6,4.3,1012,"Braybrook",709,1313,2018,1024,5.1,1424,5.1,6.6,null
11.3,3289,2109,"213031351",16.7,3.9,839,"West Footscray - Tottenham",412,792,2018,640,5.1,1424,6.7,6.3,null
7.7,4298,1562,"213031349",11.3,3.2,784,"Maribyrnong",387,704,2018,458,3.3,1067,5.7,5.1,null
13.4,4122,5642,"213041357",19.8,5.2,2218,"Melton South",1089,2235,2018,1411,5.0,3815,7.8,7.9,null
9.5,2978,3102,"213041358",15.5,4.7,1303,"Melton West",699,1348,2018,942,4.7,1907,6.5,6.7,null
12.4,653,704,"213041359",16.3,4.8,332,"Rockbank - Mount Cottrell",156,373,2018,258,6.0,534,7.7,8.7,null
9.7,6025,1900,"213031352",11.7,3.5,1344,"Yarraville",466,1053,2018,563,3.5,1574,8.3,6.5,null
12.9,5288,4826,"213041353",21.7,4.7,2124,"Bacchus Marsh",830,2514,2018,931,4.2,2857,9.6,11.3,null
8.8,5951,3056,"213041355",12.6,3.7,1721,"Hillside",689,1449,2018,970,4.0,2130,7.1,6.0,null
17.4,2997,5210,"213041356",25.8,6.1,1923,"Melton",957,2415,2018,1189,5.9,3519,9.5,12.0,null
11.9,1237,785,"213041462",11.7,4.0,559,"Burnside Heights",189,344,2018,278,4.1,797,8.3,5.1,null
5.8,4749,1327,"213051464",8.2,3.5,781,"Point Cook - East",404,673,2018,483,3.0,931,4.9,4.2,null
8.0,4448,2989,"213051361",14.7,4.4,1114,"Hoppers Crossing - North",716,1574,2018,909,4.5,1629,5.5,7.7,null
9.6,3718,3730,"213051362",18.0,4.7,1388,"Hoppers Crossing - South",781,1701,2018,1210,5.8,1982,6.7,8.2,null
7.5,2293,1237,"213051363",11.3,3.9,531,"Laverton",336,564,2018,552,5.0,823,4.8,5.1,null
8.2,6806,4203,"213051365",9.6,3.7,2241,"Tarneit",1118,1952,2018,1826,4.2,3556,5.1,4.5,null
3.9,4764,1926,"213051366",6.6,3.0,951,"Truganina",614,1044,2018,878,3.0,1131,3.3,3.6,null
14.2,3805,2620,"213051368",20.2,4.7,1298,"Werribee - South",501,1223,2018,686,5.3,1836,10.0,9.5,null
6.1,4682,3411,"213051369",12.7,3.8,1227,"Wyndham Vale",744,1617,2018,958,3.6,1646,4.6,6.0,null
6.6,6845,2671,"213051465",10.6,3.6,1410,"Point Cook - North",674,1319,2018,921,3.6,1680,5.6,5.2,null
12.5,4443,3993,"214011370",18.3,4.6,1593,"Carrum Downs",796,1884,2018,1151,5.3,2726,7.3,8.6,null
10.8,3061,3575,"213051467",17.2,5.0,1560,"Werribee - East",823,1898,2018,1006,4.8,2252,7.5,9.1,null
8.6,3592,2689,"213051468",18.7,4.3,958,"Werribee - West",493,1069,2018,685,4.8,1229,6.7,7.4,null
15.1,5496,5828,"214011371",24.5,5.5,2010,"Frankston",1098,2396,2018,1510,6.3,3592,8.4,10.1,null
12.4,3146,5624,"214011372",28.4,5.9,1545,"Frankston North",944,2767,2018,1243,6.3,2460,7.8,14.0,null
9.1,8090,3678,"214011374",14.6,4.1,1751,"Langwarrin",840,2080,2018,949,3.8,2306,6.9,8.2,null
10.9,7446,3069,"214011373",16.2,4.3,1187,"Frankston South",654,1769,2018,942,5.0,2067,6.3,9.3,null
9.6,4332,1858,"214011376",13.1,4.1,887,"Skye - Sandhurst",448,911,2018,528,3.7,1362,6.3,6.4,null
12.9,4418,3394,"214011375",19.5,4.6,1534,"Seaford (Vic.)",665,1822,2018,860,4.9,2245,8.8,10.4,null
8.8,9065,2178,"214021381",11.6,3.9,1267,"Mount Eliza",569,1422,2018,705,3.8,1657,6.7,7.6,null
9.5,8059,2896,"214021382",14.7,4.4,1190,"Mount Martha",680,1919,2018,836,4.3,1876,6.1,9.8,null
12.0,6155,4826,"214021383",26.1,5.4,1399,"Point Nepean",840,2466,2018,1084,5.9,2219,7.6,13.3,null
11.9,4079,2477,"214021377",20.3,4.9,997,"Dromana",508,1420,2018,591,4.8,1453,8.2,11.6,null
13.0,2820,832,"214021378",14.9,5.1,452,"Flinders",243,610,2018,233,4.2,724,8.1,11.0,null
17.0,5848,5843,"214021379",25.0,6.1,1778,"Hastings - Somers",1149,2713,2018,1717,7.4,3975,7.6,11.6,null
18.1,8912,5297,"214021380",20.7,5.0,3229,"Mornington",1064,2478,2018,1624,6.4,4635,12.6,9.7,null
13.8,5253,7364,"214021384",33.9,5.9,1778,"Rosebud - McCrae",1078,3883,2018,1622,7.5,2999,8.2,17.9,null
8.4,6185,3438,"214021385",17.9,4.5,1022,"Somerville",711,1875,2018,892,4.6,1618,5.3,9.8,null
