yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_prt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_ttl_prsns_agd_nm, occptn_emplyd_prsns_prcntge_of_ttl_cnss_tchncns_trds_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_10_eqvlnt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_awy_wrk_stdyng_fl_tme_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_hlth_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_lbrrs_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_ttl_ppltn_and_ovr_nm, yth_15_19_yrs_enggmnt_wrkstdy_cnss_flly_enggd_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_wthn_a_lng_dy_cre, jobs_australia_year_ended_30_june_number_employee_manufacturing, labour_force_status_persons_aged_15_years_census_num, labour_force_status_persons_aged_15_years_census_unemployed_num, jbs_astrla_yr_endd_30_jne_nmbr_emplye_trnsprt_pstl_wrhsng, sa2_name_2016, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_archte_and_bldng_pc, jobs_in_australia_year_ended_30_june_number_of_jobs_persons, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_go_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_rntl_hrng_rl_estte_srvcs, children_attending_preschool_program_1_july_15_hours_num, jobs_australia_year_ended_30_june_number_employee_construction, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_infrmt_tchnlgy_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_scty_and_cltre_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_nm, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_crtfcte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_fnnce_insrnce_srvcs, youth_15_19_years_engagement_workstudy_census_fully_engaged_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_of_indqtly_dscrb_std, hghr_edctn_ln_prgrm_hlp_rpymnts_yr_endd_30_jne_txpyrs_rpymnt_nm, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_acrs_one_prvd_type_n, ocptn_emplyd_prsn_prcntge_of_tl_cns_cmnty_prsnl_srvce_wrks_pc, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_advncd_dplmdplma_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_hlth_cre_scl_assstnce, jobs_australia_year_ended_30_june_number_employee_jobs_total, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_pblc_admnstrtn_sfty, jobs_in_australia_year_ended_30_june_number_of_jobs_males, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_crtve_arts_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_stdyng_fll_tme_wrkng_pc, persons_non_school_qualifications_aged_15_years_census_pc, labour_force_status_persons_aged_15_years_census_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_accmmdtn_fd_srvcs, jbs_astrla_yr_endd_30_jne_nmbr_emplye_admnstrtve_spprt_srvcs, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_pstgrdte_dgre_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_ntrl_and_physcl_scn, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_fll_pc, prsn_n_schl_qlfctns_agd_15_yrs_cns_grdte_dplmgrte_crtfe_pc, jobs_australia_year_ended_30_june_number_employee_jobs_mining, jobs_in_australia_year_ended_30_june_number_of_jobs_females, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mngrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_11_eqvlnt_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_fl_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_agrcltre_frstry_fshng, children_attending_preschool_program_1_july_less_15_hours_num, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_edctn_trnng, occptn_emplyd_prsns_prcntge_of_ttl_cnss_prfssnls_pc, highest_year_school_completed_persons_aged_15_years_census_8_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_indqtly_dscrbd_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_in_a_nm, labour_force_status_persons_aged_15_years_census_stated_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_mxd_prgrmms_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_arts_rcrtn_srvcs, jobs_australia_year_ended_30_june_number_employee_retail_trade, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_fd_hsptly_and_prsnl, lbr_frce_stts_prsns_agd_15_yrs_cnss_prtcptn_rte_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mchnry_oprtrs_drvrs_pc, ocptn_emplyd_prsn_prcntge_of_tl_cns_clr_admnstrve_wrks_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_unmplymnt_rte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_whlsle_trde, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_edctn_pc, labour_force_status_persons_aged_15_years_census_employed_num, sa2_maincode_2016, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_engr_and_rltd_tchnlg, occptn_emplyd_prsns_prcntge_of_ttl_cnss_sls_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_12_eqvlnt_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_agrclte_envrmtl_and, yr, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_9_eqvlnt_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_infrmtn_mda_tlcmmnctns, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_bchlr_dgre_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_of_sttd_pc, jbs_astrl_yr_end_30_jne_nmbr_emply_elctry_gs_wtr_wste_srvc, jbs_astrl_yr_end_30_jne_nmbr_emply_prfsnl_scntf_tchnl_srvc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_mngt_and_cmre_pc, jobs_australia_year_ended_30_june_number_employee_jobs_services, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_indqtly_dscrbd_pc
null,null,null,null,null,null,null,null,null,null,162,null,null,null,null,"Elwood",null,null,null,53,null,159,null,null,null,15,null,null,null,null,null,4,null,null,null,null,182,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16,null,null,null,null,null,127,null,null,null,null,null,null,null,null,null,null,null,null,"206051129",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,90,null,null,null,null,"Albert Park",null,null,null,42,null,162,null,null,null,71,null,null,null,null,null,25,null,null,null,null,185,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13,null,null,null,null,null,140,null,null,null,null,null,null,null,null,null,null,null,null,"206051128",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,77,null,null,null,null,"South Melbourne",null,null,null,30,null,106,null,null,null,40,null,null,null,null,null,5,null,null,null,null,119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,null,null,null,null,null,91,null,null,null,null,null,null,null,null,null,null,null,null,"206051132",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,165,null,null,null,null,"St Kilda East",null,null,null,62,null,169,null,null,null,30,null,null,null,null,null,6,null,null,null,null,199,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33,null,null,null,null,null,140,null,null,null,null,null,null,null,null,null,null,null,null,"206051134",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,123,null,null,null,null,"St Kilda",null,null,null,36,null,128,null,null,null,28,null,null,null,null,null,5,null,null,null,null,149,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14,null,null,null,null,null,113,null,null,null,null,null,null,null,null,null,null,null,null,"206051133",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,64,null,null,null,null,"South Yarra - East",null,null,null,48,null,121,null,null,null,81,null,null,null,null,null,4,null,null,null,null,152,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20,null,null,null,null,null,104,null,null,null,null,null,null,null,null,null,null,null,null,"206061137",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,25,null,null,null,null,"Toorak",null,null,null,31,null,86,null,null,null,70,null,null,null,null,null,6,null,null,null,null,99,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11,null,null,null,null,null,66,null,null,null,null,null,null,null,null,null,null,null,null,"206061138",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,58,null,null,null,null,"Carlton North - Princes Hill",null,null,null,20,null,76,null,null,null,12,null,null,null,null,null,9,null,null,null,null,78,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,61,null,null,null,null,null,null,null,null,null,null,null,null,"206071140",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,50,null,null,null,null,"Abbotsford",null,null,null,6,null,51,null,null,null,7,null,null,null,null,null,null,null,null,null,null,62,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,null,52,null,null,null,null,null,null,null,null,null,null,null,null,"206071139",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,109,null,null,null,null,"Fitzroy North",null,null,null,32,null,99,null,null,null,null,null,null,null,null,null,5,null,null,null,null,114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8,null,null,null,null,null,75,null,null,null,null,null,null,null,null,null,null,null,null,"206071143",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,119,null,null,null,null,"Richmond (Vic.)",null,null,null,63,null,216,null,null,null,93,null,null,null,null,null,38,null,null,null,null,250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21,null,null,null,null,null,183,null,null,null,null,null,null,null,null,null,null,null,null,"206071144",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,81,null,null,null,null,"Yarra - North",null,null,null,34,null,98,null,null,null,23,null,null,null,null,null,11,null,null,null,null,118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8,null,null,null,null,null,83,null,null,null,null,null,null,null,null,null,null,null,null,"206071145",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,63,null,null,null,null,"Balwyn",null,null,null,64,null,173,null,null,null,108,null,null,null,null,null,18,null,null,null,null,191,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14,null,null,null,null,null,126,null,null,null,null,null,null,null,null,null,null,null,null,"207011147",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,51,null,null,null,null,"Ashburton (Vic.)",null,null,null,45,null,108,null,null,null,44,null,null,null,null,null,29,null,null,null,null,125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13,null,null,null,null,null,82,null,null,null,null,null,null,null,null,null,null,null,null,"207011146",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,110,null,null,null,null,"Hawthorn East",null,null,null,51,null,157,null,null,null,61,null,null,null,null,null,13,null,null,null,null,188,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26,null,null,null,null,null,136,null,null,null,null,null,null,null,null,null,null,null,null,"207011152",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,125,null,null,null,null,"Kew",null,null,null,79,null,214,null,null,null,112,null,null,null,null,null,14,null,null,null,null,256,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32,null,null,null,null,null,176,null,null,null,null,null,null,null,null,null,null,null,null,"207011153",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,95,null,null,null,null,"Balwyn North",null,null,null,54,null,219,null,null,null,117,null,null,null,null,null,35,null,null,null,null,243,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20,null,null,null,null,null,191,null,null,null,null,null,null,null,null,null,null,null,null,"207011148",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,111,null,null,null,null,"Doncaster",null,null,null,65,null,224,null,null,null,114,null,null,null,null,null,35,null,null,null,null,261,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29,null,null,null,null,null,195,null,null,null,null,null,null,null,null,null,null,null,null,"207021157",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,124,null,null,null,null,"Camberwell",null,null,null,62,null,224,null,null,null,110,null,null,null,null,null,25,null,null,null,null,260,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27,null,null,null,null,null,192,null,null,null,null,null,null,null,null,null,null,null,null,"207011149",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,73,null,null,null,null,"Templestowe",null,null,null,44,null,150,null,null,null,71,null,null,null,null,null,27,null,null,null,null,177,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,null,null,null,131,null,null,null,null,null,null,null,null,null,null,null,null,"207021159",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,72,null,null,null,null,"Surrey Hills (East) - Mont Albert",null,null,null,48,null,134,null,null,null,61,null,null,null,null,null,22,null,null,null,null,156,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16,null,null,null,null,null,104,null,null,null,null,null,null,null,null,null,null,null,null,"207031167",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,82,null,null,null,null,"Blackburn South",null,null,null,46,null,136,null,null,null,60,null,null,null,null,null,19,null,null,null,null,166,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22,null,null,null,null,null,119,null,null,null,null,null,null,null,null,null,null,null,null,"207031162",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,102,null,null,null,null,"Glen Iris - East",null,null,null,62,null,216,null,null,null,113,null,null,null,null,null,41,null,null,null,null,248,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26,null,null,null,null,null,188,null,null,null,null,null,null,null,null,null,null,null,null,"207011150",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,110,null,null,null,null,"Hawthorn",null,null,null,54,null,154,null,null,null,71,null,null,null,null,null,18,null,null,null,null,196,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42,null,null,null,null,null,145,null,null,null,null,null,null,null,null,null,null,null,null,"207011151",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,57,null,null,null,null,"Chelsea Heights",null,null,null,27,null,90,null,null,null,42,null,null,null,null,null,6,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13,null,null,null,null,null,72,null,null,null,null,null,null,null,null,null,null,null,null,"208031187",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,45,null,null,null,null,"Kew East",null,null,null,26,null,89,null,null,null,53,null,null,null,null,null,6,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,null,null,null,null,null,74,null,null,null,null,null,null,null,null,null,null,null,null,"207011154",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,106,null,null,null,null,"Doncaster East (South)",null,null,null,68,null,233,null,null,null,107,null,null,null,null,null,45,null,null,null,null,264,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20,null,null,null,null,null,196,null,null,null,null,null,null,null,null,null,null,null,null,"207021425",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,57,null,null,null,null,"Surrey Hills (West) - Canterbury",null,null,null,59,null,160,null,null,null,105,null,null,null,null,null,21,null,null,null,null,183,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,null,null,null,129,null,null,null,null,null,null,null,null,null,null,null,null,"207011155",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,58,null,null,null,null,"Bulleen",null,null,null,47,null,128,null,null,null,68,null,null,null,null,null,15,null,null,null,null,147,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,null,null,null,null,null,106,null,null,null,null,null,null,null,null,null,null,null,null,"207021156",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,77,null,null,null,null,"Templestowe Lower",null,null,null,66,null,174,null,null,null,91,null,null,null,null,null,24,null,null,null,null,199,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,null,null,null,131,null,null,null,null,null,null,null,null,null,null,null,null,"207021160",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,127,null,null,null,null,"Blackburn",null,null,null,105,null,274,null,null,null,155,null,null,null,null,null,42,null,null,null,null,327,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40,null,null,null,null,null,225,null,null,null,null,null,null,null,null,null,null,null,null,"207031161",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,86,null,null,null,null,"Doncaster East (North)",null,null,null,40,null,146,null,null,null,58,null,null,null,null,null,30,null,null,null,null,169,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18,null,null,null,null,null,130,null,null,null,null,null,null,null,null,null,null,null,null,"207021424",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,48,null,null,null,null,"Burwood East",null,null,null,21,null,112,null,null,null,53,null,null,null,null,null,25,null,null,null,null,129,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17,null,null,null,null,null,105,null,null,null,null,null,null,null,null,null,null,null,null,"207031166",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,108,null,null,null,null,"Box Hill",null,null,null,63,null,191,null,null,null,90,null,null,null,null,null,21,null,null,null,null,218,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,null,null,null,158,null,null,null,null,null,null,null,null,null,null,null,null,"207031163",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,114,null,null,null,null,"Box Hill North",null,null,null,78,null,226,null,null,null,111,null,null,null,null,null,31,null,null,null,null,258,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31,null,null,null,null,null,184,null,null,null,null,null,null,null,null,null,null,null,null,"207031164",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,58,null,null,null,null,"Burwood",null,null,null,32,null,97,null,null,null,40,null,null,null,null,null,9,null,null,null,null,108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8,null,null,null,null,null,74,null,null,null,null,null,null,null,null,null,null,null,null,"207031165",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,114,null,null,null,null,"Brighton East",null,null,null,91,null,210,null,null,null,98,null,null,null,null,null,31,null,null,null,null,245,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25,null,null,null,null,null,149,null,null,null,null,null,null,null,null,null,null,null,null,"208011170",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,54,null,null,null,null,"Beaumaris",null,null,null,54,null,133,null,null,null,79,null,null,null,null,null,22,null,null,null,null,153,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13,null,null,null,null,null,95,null,null,null,null,null,null,null,null,null,null,null,null,"208011168",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,48,null,null,null,null,"Dingley Village",null,null,null,46,null,105,null,null,null,62,null,null,null,null,null,10,null,null,null,null,127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14,null,null,null,null,null,82,null,null,null,null,null,null,null,null,null,null,null,null,"212041313",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,228,null,null,null,null,"Caulfield - South",null,null,null,97,null,263,null,null,null,47,null,null,null,null,null,23,null,null,null,null,307,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36,null,null,null,null,null,207,null,null,null,null,null,null,null,null,null,null,null,null,"208021178",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,102,null,null,null,null,"Brighton (Vic.)",null,null,null,79,null,229,null,null,null,121,null,null,null,null,null,41,null,null,null,null,264,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20,null,null,null,null,null,186,null,null,null,null,null,null,null,null,null,null,null,null,"208011169",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,103,null,null,null,null,"Elsternwick",null,null,null,38,null,147,null,null,null,49,null,null,null,null,null,18,null,null,null,null,167,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18,null,null,null,null,null,134,null,null,null,null,null,null,null,null,null,null,null,null,"208021179",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,"Hampton",null,null,null,73,null,221,null,null,null,114,null,null,null,null,null,49,null,null,null,null,262,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35,null,null,null,null,null,185,null,null,null,null,null,null,null,null,null,null,null,null,"208011172",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,65,null,null,null,null,"Sandringham - Black Rock",null,null,null,83,null,175,null,null,null,109,null,null,null,null,null,27,null,null,null,null,207,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22,null,null,null,null,null,124,null,null,null,null,null,null,null,null,null,null,null,null,"208011173",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,170,null,null,null,null,"Bentleigh - McKinnon",null,null,null,89,null,279,null,null,null,83,null,null,null,null,null,60,null,null,null,null,318,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,227,null,null,null,null,null,null,null,null,null,null,null,null,"208021174",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,107,null,null,null,null,"St Albans - North",null,null,null,60,null,246,null,null,null,202,null,null,null,null,null,15,null,null,null,null,321,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,60,null,null,null,null,null,257,null,null,null,null,null,null,null,null,null,null,null,null,"213011334",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,127,null,null,null,null,"Carnegie",null,null,null,61,null,242,null,null,null,92,null,null,null,null,null,41,null,null,null,null,263,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,null,null,null,null,null,199,null,null,null,null,null,null,null,null,null,null,null,null,"208021176",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,274,null,null,null,null,"Caulfield - North",null,null,null,96,null,257,null,null,null,53,null,null,null,null,null,8,null,null,null,null,337,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,69,null,null,null,null,null,239,null,null,null,null,null,null,null,null,null,null,null,null,"208021177",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,50,null,null,null,null,"Hughesdale",null,null,null,38,null,98,null,null,null,28,null,null,null,null,null,25,null,null,null,null,104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11,null,null,null,null,null,65,null,null,null,null,null,null,null,null,null,null,null,null,"208021180",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,78,null,null,null,null,"Ormond - Glen Huntly",null,null,null,56,null,150,null,null,null,62,null,null,null,null,null,26,null,null,null,null,170,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16,null,null,null,null,null,118,null,null,null,null,null,null,null,null,null,null,null,null,"208021182",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,"Carrum - Patterson Lakes",null,null,null,52,null,141,null,null,null,55,null,null,null,null,null,8,null,null,null,null,167,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21,null,null,null,null,null,110,null,null,null,null,null,null,null,null,null,null,null,null,"208031185",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,121,null,null,null,null,"Chelsea - Bonbeach",null,null,null,67,null,190,null,null,null,95,null,null,null,null,null,23,null,null,null,null,234,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35,null,null,null,null,null,171,null,null,null,null,null,null,null,null,null,null,null,null,"208031186",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,165,null,null,null,null,"Cheltenham - Highett (East)",null,null,null,107,null,278,null,null,null,119,null,null,null,null,null,37,null,null,null,null,315,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30,null,null,null,null,null,209,null,null,null,null,null,null,null,null,null,null,null,null,"208031188",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,58,null,null,null,null,"Epping - East",null,null,null,49,null,147,null,null,null,114,null,null,null,null,null,17,null,null,null,null,192,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39,null,null,null,null,null,145,null,null,null,null,null,null,null,null,null,null,null,null,"209041431",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,51,null,null,null,null,"Epping - South",null,null,null,40,null,114,null,null,null,83,null,null,null,null,null,4,null,null,null,null,143,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23,null,null,null,null,null,104,null,null,null,null,null,null,null,null,null,null,null,null,"209041432",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
