births_2017_18, births_2016_17, erp_change_number_2018_19, erp_change_per_cent_2018_19, deaths_2018_19, sa2_name_2016, internal_departures_2018_19, pop_density_2019_people_per_km2, gccsa_name_2016, natural_increase_2018_19, overseas_departures_2018_19, natural_increase_2017_18, overseas_departures_2017_18, internal_arrivals_2017_18, deaths_2017_18, internal_arrivals_2016_17, state_name_2016, internal_departures_2016_17, deaths_2016_17, erp_2017, erp_2018, erp_2019, net_internal_migration_2017_18, net_overseas_migration_2016_17, sa3_name_2016, net_internal_migration_2018_19, net_overseas_migration_2018_19, overseas_arrivals_2016_17, area_km2, overseas_arrivals_2017_18, state_code_2016, erp_2008, erp_2009, erp_2006, erp_2007, net_internal_migration_2016_17, erp_2012, erp_2011, erp_2010, erp_2016, erp_2015, erp_2014, erp_2013, sa4_name_2016, overseas_arrivals_2018_19, internal_departures_2017_18, natural_increase_2016_17, sa2_maincode_2016, sa4_code_2016, overseas_departures_2016_17, erp_2001, erp_2003, erp_2002, erp_2005, erp_2004, internal_arrivals_2018_19, gccsa_code_2016, net_overseas_migration_2017_18, births_2018_19, sa3_code_2016
139,141,314,2.30629992485046,53,"Fitzroy North",1653,5560.25732421875,"Greater Melbourne",103,342,95,321,1612,44,1481,"Victoria",1539,53,13354,13615,13929,-8,195,"Yarra",40,171,487,2.50510001182556,495,2,11937,12104,11606,11725,-58,12312,12143,12163,13129,12901,12658,12446,"Melbourne - Inner",513,1620,88,"206071143",206,292,11130,11202,11162,11486,11275,1693,"2GMEL",174,156,20607
136,152,110,0.876500010490417,60,"Carrum - Patterson Lakes",1164,2173.68920898438,"Greater Melbourne",68,55,63,50,1231,73,1065,"Victoria",1030,69,12319,12550,12660,82,90,"Kingston",-43,85,134,5.82420015335083,136,2,11382,11623,10864,11020,35,11676,11664,11700,12111,11953,11844,11743,"Melbourne - Inner South",140,1149,83,"208031185",208,44,10278,10689,10560,10808,10740,1121,"2GMEL",86,128,20803
407,407,1193,3.44210004806519,110,"Richmond (Vic.)",4066,5770.94580078125,"Greater Melbourne",252,658,286,611,4036,121,3782,"Victoria",3760,116,33697,34659,35852,-28,698,"Yarra",237,704,1268,6.21250009536743,1315,2,26774,27312,25883,26313,22,28874,27841,27583,32686,31722,30936,29816,"Melbourne - Inner",1362,4064,291,"206071144",206,570,24372,24936,24672,25510,25227,4303,"2GMEL",704,362,20607
126,127,408,4.1286997795105,44,"Yarra - North",1144,1975.46508789062,"Greater Melbourne",67,213,90,199,1131,36,1064,"Victoria",1148,43,9733,9882,10290,-54,127,"Yarra",234,107,309,5.208899974823,312,2,8372,8519,8034,8225,-84,8814,8621,8595,9606,9449,9237,9001,"Melbourne - Inner",320,1185,84,"206071145",206,182,7673,7739,7687,7909,7833,1378,"2GMEL",113,111,20607
73,80,48,0.581799983978271,67,"Ashburton (Vic.)",823,2925.3330078125,"Greater Melbourne",13,116,5,108,805,68,652,"Victoria",701,68,8181,8250,8298,-25,114,"Boroondara",-50,85,195,2.83660006523132,197,2,7618,7733,7286,7477,-49,7912,7875,7834,8104,8018,7970,7948,"Melbourne - Inner East",201,830,12,"207011146",207,81,7022,7138,7084,7266,7189,773,"2GMEL",89,80,20701
103,104,73,0.427599996328354,113,"Balwyn",1777,3069.65087890625,"Greater Melbourne",-7,437,-12,407,1634,115,1550,"Victoria",1658,116,16915,17071,17144,-164,356,"Boroondara",-244,324,726,5.58500003814697,739,2,16084,16187,15879,15988,-108,16319,16314,16272,16679,16573,16477,16382,"Melbourne - Inner East",761,1798,-12,"207011147",207,370,15317,15462,15393,15694,15541,1533,"2GMEL",332,106,20701
124,132,122,0.562200009822845,112,"Balwyn North",1933,2466.12646484375,"Greater Melbourne",-2,422,18,393,1559,106,1538,"Victoria",1724,133,21578,21701,21823,-210,325,"Boroondara",-189,313,682,8.84910011291504,708,2,20657,20753,20412,20532,-186,21005,20850,20815,21440,21332,21245,21155,"Melbourne - Inner East",735,1769,-1,"207011148",207,357,19958,20099,20043,20289,20172,1744,"2GMEL",315,110,20701
151,162,161,0.91729998588562,49,"Glen Iris - East",1661,3104.87475585938,"Greater Melbourne",105,242,92,228,1614,59,1503,"Victoria",1490,60,17423,17552,17713,-85,126,"Boroondara",-66,122,333,5.70489978790283,350,2,16228,16485,15625,15865,13,16817,16634,16609,17182,17075,17034,16962,"Melbourne - Inner East",364,1699,102,"207011150",207,207,15114,15283,15220,15526,15376,1595,"2GMEL",122,154,20701
238,239,629,2.46359992027283,55,"Hawthorn",2867,4612.224609375,"Greater Melbourne",171,1020,164,956,2667,74,2297,"Victoria",2493,75,25048,25532,26161,-199,532,"Boroondara",-54,512,1407,5.67210006713867,1475,2,21091,21470,20531,20863,-196,22356,22013,21721,24548,24047,23629,23046,"Melbourne - Inner East",1532,2866,164,"207011151",207,875,19711,19969,19812,20326,20182,2813,"2GMEL",519,226,20701
171,187,250,1.47109997272491,68,"Hawthorn East",1932,4509.4140625,"Greater Melbourne",82,549,95,520,1967,76,1690,"Victoria",1696,77,16625,16994,17244,-11,329,"Boroondara",-108,276,798,3.82399988174438,805,2,14022,14241,13626,13835,-6,14531,14417,14369,16192,15601,15066,14732,"Melbourne - Inner East",825,1978,110,"207011152",207,469,12912,13343,13172,13505,13423,1824,"2GMEL",285,150,20701
202,192,146,0.584500014781952,176,"Brighton (Vic.)",2210,3063.83764648438,"Greater Melbourne",1,514,-5,482,2220,207,1932,"Victoria",1854,192,24699,24979,25125,19,268,"Bayside",-112,257,706,8.20049953460693,748,2,21940,22264,21360,21669,78,22651,22526,22441,24353,23933,23467,22989,"Melbourne - Inner South",771,2201,0,"208011169",208,438,21029,21141,21084,21244,21190,2098,"2GMEL",266,177,20801
210,241,275,1.0217000246048,194,"Kew",2606,2581.16577148438,"Greater Melbourne",39,569,3,534,2515,207,2280,"Victoria",2380,191,26774,26915,27190,-156,320,"Boroondara",-49,285,805,10.5340003967285,828,2,24371,24660,23583,23790,-100,25123,24856,24757,26504,26223,25957,25460,"Melbourne - Inner East",854,2671,50,"207011153",207,485,24072,23753,23938,23596,23667,2557,"2GMEL",294,233,20701
52,69,61,0.882000029087067,21,"Kew East",687,1737.51708984375,"Greater Melbourne",38,110,15,103,595,37,509,"Victoria",594,22,6909,6916,6977,-93,92,"Boroondara",-58,81,185,4.01550006866455,188,2,6407,6484,6239,6305,-85,6581,6552,6519,6855,6742,6679,6627,"Melbourne - Inner East",191,688,47,"207011154",207,93,6115,6141,6137,6201,6156,629,"2GMEL",85,59,20701
127,107,67,0.569500029087067,65,"Bulleen",1038,1773.62048339844,"Greater Melbourne",23,90,42,81,935,85,804,"Victoria",898,75,11652,11765,11832,-71,149,"Manningham - West",-93,137,221,6.67110013961792,223,2,11136,11290,10867,11013,-94,11397,11376,11350,11565,11504,11468,11434,"Melbourne - Inner East",227,1006,32,"207021156",207,72,11057,11046,11070,10920,10990,945,"2GMEL",142,88,20702
103,72,166,1.13650000095367,48,"Beaumaris",1114,2475.28393554688,"Greater Melbourne",26,134,43,125,1097,60,1070,"Victoria",987,61,14458,14606,14772,0,114,"Bayside",40,100,228,5.96780014038086,230,2,13123,13264,12767,12877,83,13472,13375,13351,14250,13995,13831,13631,"Melbourne - Inner South",234,1097,11,"208011168",208,114,12763,12729,12768,12721,12715,1154,"2GMEL",105,74,20801
225,207,1060,4.52890014648438,100,"Doncaster",2353,2788.41552734375,"Greater Melbourne",106,419,104,394,2304,121,2214,"Victoria",2061,119,22718,23405,24465,-55,592,"Manningham - West",316,638,1016,8.77379989624023,1032,2,18834,19015,18599,18717,153,19659,19343,19131,21885,21076,20505,20097,"Melbourne - Inner East",1057,2359,88,"207021157",207,424,18365,18540,18506,18562,18562,2669,"2GMEL",638,206,20702
195,238,249,1.31260001659393,77,"Box Hill North",1953,3095.4951171875,"Greater Melbourne",114,424,109,390,1561,86,1381,"Victoria",1775,76,18702,18970,19219,-293,468,"Whitehorse - West",-319,454,820,6.20870018005371,842,2,16699,16973,16224,16447,-394,17239,17036,17051,18466,18205,17940,17543,"Melbourne - Inner East",878,1854,162,"207031164",207,352,15780,15843,15820,16038,15915,1634,"2GMEL",452,191,20703
129,148,31,0.174799993634224,165,"Templestowe",1516,1102.21118164062,"Greater Melbourne",-54,201,-48,184,1254,177,1263,"Victoria",1405,185,17738,17734,17765,-178,235,"Manningham - West",-130,215,402,16.1175994873047,406,2,17314,17376,17208,17267,-142,17381,17344,17371,17682,17550,17469,17427,"Melbourne - Inner East",416,1432,-37,"207021159",207,167,17182,17187,17209,17178,17171,1386,"2GMEL",222,111,20702
124,155,33,0.228400006890297,146,"Templestowe Lower",1159,2438.95874023438,"Greater Melbourne",-40,96,-37,91,1143,161,1132,"Victoria",1154,173,14402,14451,14484,-61,137,"Manningham - West",-74,147,235,5.93860006332397,238,2,13687,13781,13505,13590,-22,13844,13792,13816,14305,14155,14006,13914,"Melbourne - Inner East",243,1204,-18,"207021160",207,98,13634,13550,13614,13460,13486,1085,"2GMEL",147,106,20702
102,140,178,1.14320003986359,87,"Doncaster East (North)",1495,2459.66674804688,"Greater Melbourne",29,234,35,215,1178,67,1070,"Victoria",1285,73,15438,15571,15749,-159,258,"Manningham - West",-101,250,452,6.40290021896362,472,2,15039,15036,15035,15025,-215,15020,15013,15033,15328,15242,15146,15055,"Melbourne - Inner East",484,1337,67,"207021424",207,194,15248,15102,15199,15042,15074,1394,"2GMEL",257,116,20702
159,175,659,4.35300016403198,116,"Doncaster East (South)",1477,3313.06103515625,"Greater Melbourne",35,271,40,245,1367,119,1395,"Victoria",1543,114,14933,15139,15798,-259,424,"Manningham - West",204,420,644,4.76840019226074,670,2,13017,13234,12404,12718,-148,13558,13343,13284,14596,14302,14019,13733,"Melbourne - Inner East",691,1626,61,"207021425",207,220,11912,12125,12011,12288,12182,1681,"2GMEL",425,151,20702
187,212,339,1.47039997577667,140,"Blackburn",2005,2717.79931640625,"Greater Melbourne",59,307,62,282,1855,125,1734,"Victoria",1706,152,22738,23055,23394,-83,359,"Whitehorse - West",-48,328,614,8.60770034790039,620,2,19999,20332,19317,19534,28,20920,20635,20490,22291,21850,21503,21247,"Melbourne - Inner East",635,1938,60,"207031161",207,255,19123,19119,19128,19210,19121,1957,"2GMEL",338,199,20703
131,109,99,0.868499994277954,73,"Blackburn South",938,3196.908203125,"Greater Melbourne",38,116,20,97,883,111,810,"Victoria",879,107,11318,11399,11498,-76,156,"Whitehorse - West",-62,123,232,3.59660005569458,234,2,10760,10873,10588,10668,-69,10982,10975,10958,11229,11101,11046,11010,"Melbourne - Inner East",239,959,2,"207031162",207,76,10608,10557,10574,10530,10546,876,"2GMEL",137,111,20703
202,216,693,3.06270003318787,137,"Box Hill",2514,3325.72729492188,"Greater Melbourne",64,896,121,833,2048,81,1829,"Victoria",2149,109,21703,22627,23320,-237,1077,"Whitehorse - West",-378,1007,1841,7.01200008392334,1873,2,17414,17965,16476,17012,-320,18697,18240,18218,20839,20170,19618,19169,"Melbourne - Inner East",1903,2285,107,"207031163",207,764,15447,15629,15552,16109,15766,2136,"2GMEL",1040,201,20703
93,114,454,3.1975998878479,67,"Burwood",1325,2907.6044921875,"Greater Melbourne",19,747,15,688,1048,78,926,"Victoria",1170,97,13646,14198,14652,-360,973,"Whitehorse - West",-394,829,1594,5.03919982910156,1585,2,10650,10936,10227,10363,-244,11564,11327,11150,12900,12493,12174,11846,"Melbourne - Inner East",1576,1408,17,"207031165",207,621,9807,9856,9841,10048,9957,931,"2GMEL",897,86,20703
141,146,281,1.55830001831055,164,"Sandringham - Black Rock",1616,2848.01171875,"Greater Melbourne",-6,212,-8,197,1604,149,1384,"Victoria",1316,151,17733,18032,18313,150,153,"Bayside",131,156,332,6.43009996414185,354,2,15463,15631,15010,15237,68,16098,15888,15748,17517,17184,16811,16444,"Melbourne - Inner South",368,1454,-5,"208011173",208,179,14432,14585,14525,14821,14675,1747,"2GMEL",157,158,20801
222,236,539,2.19919991493225,139,"Bentleigh - McKinnon",2457,4024.29223632812,"Greater Melbourne",70,324,70,298,2324,152,2054,"Victoria",2034,129,24092,24509,25048,-9,379,"Glen Eira",123,346,648,6.2241997718811,654,2,21203,21612,20409,20784,20,22388,21951,21819,23586,23295,23067,22759,"Melbourne - Inner South",670,2333,107,"208021174",208,269,19086,19555,19273,20072,19839,2580,"2GMEL",356,209,20802
221,264,425,2.11050009727478,112,"Carnegie",2228,5404.9365234375,"Greater Melbourne",122,580,99,534,2090,122,1619,"Victoria",1980,103,19570,20137,20562,-169,679,"Glen Eira",-316,619,1161,3.80430006980896,1171,2,16289,16742,15659,16003,-361,17367,17047,16915,19091,18645,18192,17775,"Melbourne - Inner South",1199,2259,161,"208021176",208,482,14982,15136,15086,15477,15257,1912,"2GMEL",637,234,20802
301,340,250,1.07420003414154,168,"Caulfield - North",2181,3664.646484375,"Greater Melbourne",127,700,159,657,2009,142,1842,"Victoria",1886,143,22949,23273,23523,-236,508,"Glen Eira",-229,352,1106,6.41890001296997,1058,2,20101,20385,19698,19875,-44,20930,20703,20583,22288,21956,21614,21277,"Melbourne - Inner South",1052,2245,197,"208021177",208,598,18975,19188,19149,19463,19227,1952,"2GMEL",401,295,20802
201,205,161,0.857999980449677,157,"Caulfield - South",1833,3990.63793945312,"Greater Melbourne",19,305,-12,283,1609,213,1422,"Victoria",1524,212,18589,18765,18926,-47,305,"Glen Eira",-83,225,562,4.74259996414185,518,2,16859,17098,16508,16599,-102,17430,17227,17177,18393,18156,17921,17636,"Melbourne - Inner South",530,1656,-7,"208021178",208,257,15636,15815,15699,16262,16044,1750,"2GMEL",235,176,20802
155,185,172,1.37609994411469,68,"Elsternwick",1424,4427.9423828125,"Greater Melbourne",76,195,92,181,1355,63,1076,"Victoria",1165,67,12304,12499,12671,-47,165,"Glen Eira",-49,145,329,2.86159992218018,331,2,11031,11199,10668,10878,-89,11352,11292,11278,12110,11825,11687,11476,"Melbourne - Inner South",340,1402,118,"208021179",208,164,10340,10415,10373,10527,10493,1375,"2GMEL",150,144,20802
218,221,211,1.37109994888306,174,"Chelsea - Bonbeach",1659,2876.63647460938,"Greater Melbourne",36,75,46,68,1662,172,1571,"Victoria",1468,144,15136,15389,15600,89,123,"Kingston",60,115,184,5.4229998588562,186,2,12580,13030,11970,12268,103,13680,13441,13277,14833,14396,14091,13914,"Melbourne - Inner South",190,1573,77,"208031186",208,61,11598,11754,11683,11849,11758,1719,"2GMEL",118,210,20803
66,77,25,0.446700006723404,28,"Chelsea Heights",462,1758.87097167969,"Greater Melbourne",34,15,46,14,437,20,374,"Victoria",403,24,5586,5596,5621,-58,24,"Kingston",-31,22,36,3.19580006599426,36,2,5299,5333,5248,5263,-29,5358,5329,5349,5538,5485,5443,5391,"Melbourne - Inner South",37,495,53,"208031187",208,12,5440,5333,5394,5297,5301,431,"2GMEL",22,62,20803
322,280,464,1.88730001449585,208,"Cheltenham - Highett (East)",2503,2866.88720703125,"Greater Melbourne",65,186,140,169,2550,182,2028,"Victoria",1966,160,23921,24586,25050,235,290,"Kingston",110,289,440,8.73770046234131,459,2,20425,20898,19969,20271,62,21556,21192,21083,23449,22962,22533,22048,"Melbourne - Inner South",475,2315,120,"208031188",208,150,19727,19669,19689,19817,19731,2613,"2GMEL",290,273,20803
163,161,269,1.95550000667572,91,"Edithvale - Aspendale",1229,2749.94604492188,"Greater Melbourne",72,57,79,52,1263,84,981,"Victoria",1011,83,13518,13756,14025,69,94,"Kingston",108,89,140,5.10010004043579,142,2,11984,12223,11669,11803,-30,12645,12488,12365,13376,13152,12907,12784,"Melbourne - Inner South",146,1194,78,"208031189",208,46,11587,11580,11585,11627,11613,1337,"2GMEL",90,163,20803
153,147,179,1.27799999713898,82,"Mentone",1633,3187.64038085938,"Greater Melbourne",86,167,34,143,1520,119,1221,"Victoria",1293,103,13872,14006,14185,-89,205,"Kingston",-85,178,315,4.44999980926514,332,2,11728,11936,11571,11682,-72,12573,12224,12046,13695,13332,13031,12768,"Melbourne - Inner South",345,1609,44,"208031190",208,110,11561,11474,11506,11524,11514,1548,"2GMEL",189,168,20803
99,98,181,1.89209997653961,59,"Moorabbin - Heatherton",1061,833.098327636719,"Greater Melbourne",38,117,35,107,966,64,855,"Victoria",928,57,9398,9566,9747,-49,177,"Kingston",-41,184,272,11.6997003555298,289,2,8164,8262,7925,8113,-73,8487,8368,8283,9253,8952,8763,8607,"Melbourne - Inner South",301,1015,41,"208031191",208,95,6484,7162,6755,7707,7522,1020,"2GMEL",182,97,20803
0,0,0,0.0,0,"Moorabbin Airport",0,0.0,"Greater Melbourne",0,0,0,0,0,0,0,"Victoria",0,0,0,0,0,0,0,"Kingston",0,0,0,3.07550001144409,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Melbourne - Inner South",0,0,0,"208031192",208,0,0,0,0,0,0,0,"2GMEL",0,0,20803
215,221,378,1.75170004367828,160,"Mordialloc - Parkdale",1909,2755.61303710938,"Greater Melbourne",59,232,64,213,1915,151,1611,"Victoria",1668,128,21287,21579,21957,-22,282,"Kingston",71,248,434,7.96810007095337,463,2,18836,19297,18126,18466,-57,19832,19448,19437,20969,20560,20316,20077,"Melbourne - Inner South",480,1937,93,"208031193",208,152,16326,17205,16781,17788,17459,1980,"2GMEL",250,219,20803
195,219,249,1.15190005302429,148,"Malvern - Glen Iris",2339,3552.44360351562,"Greater Melbourne",47,481,75,451,2264,120,2150,"Victoria",2200,163,21443,21617,21866,-156,289,"Stonnington - East",-39,241,699,6.15520000457764,706,2,19730,20108,19120,19276,-50,20519,20279,20235,21148,21009,20898,20729,"Melbourne - Inner South",722,2420,56,"208041194",208,410,18525,18728,18571,18966,18876,2300,"2GMEL",255,195,20804
213,203,368,1.56749999523163,150,"Malvern East",2104,3151.26611328125,"Greater Melbourne",52,664,62,619,1857,151,1699,"Victoria",1885,138,23021,23477,23845,-115,567,"Stonnington - East",-176,492,1127,7.56680011749268,1128,2,20848,20964,20308,20608,-186,21271,20989,20975,22575,22174,21868,21540,"Melbourne - Inner South",1156,1972,65,"208041195",208,560,19439,19681,19584,20004,19904,1928,"2GMEL",509,202,20804
139,114,92,0.879499971866608,59,"Bundoora - East",971,2589.7568359375,"Greater Melbourne",51,122,65,111,754,74,667,"Victoria",823,58,10385,10461,10553,-183,193,"Banyule",-150,191,292,4.07490015029907,305,2,9636,9836,9325,9447,-156,9948,9888,9906,10292,10136,10057,9997,"Melbourne - North East",313,937,56,"209011196",209,99,8890,9004,8941,9193,9065,821,"2GMEL",194,110,20901
251,262,104,0.482300013303757,118,"Greensborough",1990,2145.7998046875,"Greater Melbourne",110,81,115,74,1678,136,1593,"Victoria",1697,137,21484,21563,21667,-159,115,"Banyule",-131,125,180,10.0973997116089,197,2,20909,20963,20717,20828,-104,21008,20987,20995,21348,21224,21140,21072,"Melbourne - North East",206,1837,125,"209011197",209,65,21359,20956,21126,20656,20687,1859,"2GMEL",123,228,20901
435,445,186,0.677100002765656,84,"Hampton Park - Lynbrook",2979,2072.80590820312,"Greater Melbourne",329,291,370,264,2524,65,2281,"Victoria",2767,78,27142,27470,27656,-502,481,"Casey - South",-593,450,717,13.3423004150391,724,2,23377,23904,22646,22851,-486,24973,24744,24432,26780,26239,25765,25295,"Melbourne - South East",741,3026,367,"212031305",212,236,20384,21566,20853,22485,22212,2386,"2GMEL",460,413,21203
203,192,347,2.15129995346069,202,"Heidelberg - Rosanna",1512,2585.96606445312,"Greater Melbourne",-12,195,61,179,1594,142,1459,"Victoria",1394,140,15877,16130,16477,-23,228,"Banyule",151,208,389,6.37169981002808,394,2,13544,13935,13063,13388,65,14498,14215,14098,15532,15245,15047,14804,"Melbourne - North East",403,1617,52,"209011198",209,161,12805,12848,12856,12922,12813,1663,"2GMEL",215,190,20901
268,267,415,2.70379996299744,125,"Heidelberg West",1909,2355.93017578125,"Greater Melbourne",134,145,127,131,1703,141,1537,"Victoria",1577,127,15118,15349,15764,-122,212,"Banyule",55,226,330,6.6911997795105,357,2,13480,13694,13271,13385,-40,14121,13984,13798,14806,14634,14457,14267,"Melbourne - North East",371,1825,140,"209011199",209,118,13300,13234,13246,13224,13170,1964,"2GMEL",226,259,20901
237,285,506,2.25880002975464,111,"Preston - East",2628,2957.3828125,"Greater Melbourne",139,319,105,289,2431,132,2168,"Victoria",2183,125,21864,22401,22907,-73,527,"Darebin - North",-128,495,786,7.74569988250732,794,2,17980,18472,17145,17461,-15,19551,19297,18780,21192,20603,20127,19777,"Melbourne - North East",814,2504,160,"209021428",209,259,16709,16633,16669,16990,16736,2500,"2GMEL",505,250,20902
130,125,248,1.9559999704361,62,"Ivanhoe",1296,2559.85278320312,"Greater Melbourne",62,185,66,172,1300,64,1298,"Victoria",1095,45,12437,12679,12927,33,156,"Banyule",48,138,312,5.04990005493164,315,2,11275,11516,10713,10947,203,11655,11608,11587,11998,11851,11734,11693,"Melbourne - North East",323,1267,80,"209011200",209,156,10493,10491,10440,10545,10480,1344,"2GMEL",143,124,20901
168,171,242,1.81060004234314,61,"Preston - West",1376,3814.00830078125,"Greater Melbourne",98,150,100,136,1180,68,1107,"Victoria",1189,53,13152,13366,13608,-126,249,"Darebin - North",-90,234,372,3.56789994239807,376,2,11854,12030,11571,11689,-82,12151,12103,12108,12867,12616,12427,12269,"Melbourne - North East",384,1306,118,"209021429",209,123,11144,11122,11163,11428,11265,1286,"2GMEL",240,159,20902
282,304,354,2.06629991531372,77,"Lynbrook - Lyndhurst",1717,2376.4287109375,"Greater Melbourne",213,176,204,159,1697,78,1249,"Victoria",1237,61,16614,17132,17486,34,292,"Casey - South",-133,274,434,7.35809993743896,439,2,7660,9002,5130,6319,12,12994,12107,10529,16067,15459,14794,14042,"Melbourne - South East",450,1663,243,"212031306",212,142,1507,2658,2057,4091,3320,1584,"2GMEL",280,290,21203
63,46,42,0.508899986743927,35,"Ivanhoe East - Eaglemont",790,1939.48889160156,"Greater Melbourne",22,82,30,76,648,33,670,"Victoria",619,53,8231,8253,8295,-71,68,"Banyule",-41,61,137,4.27689981460571,139,2,7968,7999,7884,7923,51,8057,8041,8032,8119,8088,8079,8068,"Melbourne - North East",143,719,-7,"209011201",209,69,7656,7704,7677,7747,7684,749,"2GMEL",63,57,20901
99,91,206,1.57879996299744,73,"Kingsbury",1235,1471.146484375,"Greater Melbourne",23,473,26,450,902,73,851,"Victoria",860,74,12583,13048,13254,-174,610,"Darebin - North",-444,627,1064,9.00930023193359,1063,2,9858,10419,8561,9323,-9,11106,10821,10649,11965,11730,11516,11349,"Melbourne - North East",1100,1076,17,"209021205",209,454,6084,6929,6468,7986,7375,791,"2GMEL",613,96,20902
73,91,21,0.257499992847443,37,"Pearcedale - Tooradin",769,82.9955978393555,"Greater Melbourne",53,6,41,6,732,32,676,"Victoria",693,27,8092,8155,8176,13,10,"Casey - South",-42,10,16,98.5111999511719,15,2,7552,7574,7571,7559,-17,7718,7706,7623,8035,7896,7811,7752,"Melbourne - South East",16,719,64,"212031308",212,6,6938,7181,7043,7537,7311,727,"2GMEL",9,90,21203
200,223,87,0.512000024318695,104,"Montmorency - Briar Hill",1459,1419.87731933594,"Greater Melbourne",68,61,95,56,1409,105,1272,"Victoria",1360,107,16922,16991,17078,-123,102,"Banyule",-76,95,151,12.0277996063232,153,2,15863,16110,15668,15769,-88,16182,16165,16182,16792,16508,16299,16222,"Melbourne - North East",156,1532,116,"209011202",209,49,15726,15700,15742,15651,15615,1383,"2GMEL",97,172,20901
84,84,83,1.25279998779297,31,"Bundoora - West",666,2620.21020507812,"Greater Melbourne",30,131,49,118,528,35,453,"Victoria",643,25,6532,6625,6708,-164,207,"Whittlesea - Wallan",-150,203,313,2.56010007858276,326,2,6503,6479,6583,6527,-190,6485,6503,6477,6456,6440,6450,6473,"Melbourne - North East",334,692,59,"209041217",209,106,6949,6788,6890,6638,6685,516,"2GMEL",208,61,20904
214,213,27,0.140499994158745,134,"Viewbank - Yallambie",1923,1879.48706054688,"Greater Melbourne",58,128,93,116,1715,121,1609,"Victoria",1784,131,19117,19215,19242,-193,192,"Banyule",-230,199,296,10.2378997802734,314,2,18642,18885,18286,18501,-175,18782,18775,18874,19018,18943,18882,18820,"Melbourne - North East",327,1908,82,"209011203",209,104,18270,18096,18170,18134,18037,1693,"2GMEL",198,192,20901
135,129,19,0.196299999952316,49,"Watsonia",888,2561.54907226562,"Greater Melbourne",80,36,90,33,844,45,678,"Victoria",748,48,9613,9678,9697,-81,60,"Banyule",-118,57,89,3.78559994697571,89,2,9263,9310,9036,9174,-70,9333,9320,9308,9542,9459,9412,9371,"Melbourne - North East",93,925,81,"209011204",209,29,9468,9280,9361,9077,9110,770,"2GMEL",56,129,20901
221,197,316,2.50539994239807,53,"West Footscray - Tottenham",1530,2161.787109375,"Greater Melbourne",148,199,163,179,1351,58,1111,"Victoria",1325,49,12322,12613,12929,-187,330,"Maribyrnong",-140,308,491,5.98070001602173,494,2,10543,10700,10152,10307,-214,10966,10713,10743,12058,11849,11527,11220,"Melbourne - West",507,1538,148,"213031351",213,161,9807,9825,9801,9988,9879,1390,"2GMEL",315,201,21303
452,432,467,1.57980000972748,257,"Reservoir - East",2960,3348.873046875,"Greater Melbourne",161,410,183,372,2712,269,2354,"Victoria",2548,279,29034,29560,30027,-306,655,"Darebin - North",-329,635,1001,8.96630001068115,1021,2,25115,25479,24666,24909,-194,26379,25781,25662,28420,27735,27285,26842,"Melbourne - North East",1045,3018,153,"209021207",209,346,24082,24024,24046,24318,24153,2631,"2GMEL",649,418,20902
398,365,249,0.963699996471405,195,"Reservoir - West",2474,2568.935546875,"Greater Melbourne",167,299,216,271,2028,182,1950,"Victoria",2197,236,25599,25837,26086,-442,471,"Darebin - North",-382,464,713,10.1543998718262,735,2,23286,23627,22663,22829,-247,24190,23969,23828,25246,24910,24676,24453,"Melbourne - North East",763,2470,129,"209021208",209,242,22957,22599,22761,22534,22545,2092,"2GMEL",464,362,20902
203,230,76,0.314000010490417,88,"Eltham",1798,1245.99108886719,"Greater Melbourne",116,94,108,84,1591,95,1395,"Victoria",1573,89,24111,24206,24282,-161,140,"Nillumbik - Kinglake",-183,143,215,19.4881000518799,232,2,23863,23865,23965,23898,-178,23671,23651,23791,24008,23849,23785,23738,"Melbourne - North East",237,1752,141,"209031209",209,75,24279,24189,24227,24051,24124,1615,"2GMEL",148,204,20903
142,129,-81,-0.648800015449524,44,"Mill Park - South",1256,2516.12646484375,"Greater Melbourne",101,87,98,79,965,44,910,"Victoria",1123,41,12530,12485,12404,-281,129,"Whittlesea - Wallan",-316,134,200,4.92980003356934,217,2,13276,13205,13408,13355,-213,12723,12810,12960,12526,12510,12540,12625,"Melbourne - North East",221,1246,88,"209041221",209,71,13680,13498,13597,13384,13420,940,"2GMEL",138,145,20904
32,45,-1,-0.0275999996811152,9,"Hurstbridge",307,244.170303344727,"Greater Melbourne",26,5,21,5,270,11,210,"Victoria",233,11,3624,3625,3624,-28,8,"Nillumbik - Kinglake",-35,8,13,14.8421001434326,13,2,3697,3675,3665,3662,-23,3645,3660,3668,3605,3603,3611,3629,"Melbourne - North East",13,298,34,"209031210",209,5,3718,3649,3698,3656,3645,272,"2GMEL",8,35,20903
46,49,34,0.82480001449585,18,"Kinglake",315,13.0076999664307,"Greater Melbourne",23,2,37,2,341,9,316,"Victoria",287,18,4048,4122,4156,33,4,"Nillumbik - Kinglake",7,4,6,319.503997802734,6,2,4064,3567,4032,4023,29,3752,3671,3626,3984,3922,3856,3810,"Melbourne - North East",6,308,31,"209031211",209,2,3677,3787,3737,3927,3850,322,"2GMEL",4,41,20903
